ligand1_num_CDK2,abs_label_CDK2,abs_predict_CDK2,ligand1_num_PTP1B,abs_label_PTP1B,abs_predict_PTP1B,ligand1_num_Bace,abs_label_Bace,abs_predict_Bace,ligand1_num_Tyk2,abs_label_Tyk2,abs_predict_Tyk2,ligand1_num_MCL1,abs_label_MCL1,abs_predict_MCL1,ligand1_num_Thrombin,abs_label_Thrombin,abs_predict_Thrombin,ligand1_num_Jnk1,abs_label_Jnk1,abs_predict_Jnk1,ligand1_num_p38,abs_label_p38,abs_predict_p38,ligand1_num_cmet,abs_label_cmet,abs_predict_cmet,ligand1_num_cdk8,abs_label_cdk8,abs_predict_cdk8,ligand1_num_syk,abs_label_syk,abs_predict_syk,ligand1_num_shp2,abs_label_shp2,abs_predict_shp2,ligand1_num_eg5,abs_label_eg5,abs_predict_eg5,ligand1_num_hif2a,abs_label_hif2a,abs_predict_hif2a,ligand1_num_pfkfb3,abs_label_pfkfb3,abs_predict_pfkfb3,ligand1_num_tnks2,abs_label_tnks2,abs_predict_tnks2
17,5.180348087353155,6.702096839099686,206672qbp,8.403348743973442,7.665503349340135,CAT-13a,6.504868905142315,6.66828367134823,ejm_31,7.019960334282542,6.8068178687759495,23.0,6.497510456154598,6.106038896584858,1a,5.504119842812728,5.960829891876301,17124-1,7.1229786201105885,7.3701666142991,p38a_2aa,6.82128221161417,8.017307459016152,lig_cmet_CHEMBL3402741_400,6.4,5.942332350730895,lig_cdk8_13,7.92,7.378914700493216,lig_syk_CHEMBL3259820,7.75,7.443114276751876,lig_shp2_10,5.24,5.741721737623214,lig_eg5_CHEMBL1077204,8.1,8.095694343502633,lig_hif2a_1,8.3,7.169175694331527,lig_pfkfb3_19,5.53,6.895126814484596,lig_tnks2_1a,6.27,6.107646317411913
1h1q,6.0192112719529565,6.054518773164163,206692qbr,6.335624578424811,6.169491215607697,CAT-13b,6.710905476798405,6.783407762854234,ejm_42,7.196563109987766,6.948737655631528,26.0,6.063361965879262,5.78785696526428,1b,6.225247843609049,6.099479829386792,18624-1,6.2473231905722,6.0432862141136265,p38a_2bb,6.666754782872101,7.941736317763858,lig_cmet_CHEMBL3402742_23,7.639999999999999,7.193004250049592,lig_cdk8_14,6.08,6.246935863930732,lig_syk_CHEMBL3264994,7.19,6.567116298675538,lig_shp2_11,4.66,6.249927365645766,lig_eg5_CHEMBL1077227,8.3,7.016144333839416,lig_hif2a_124,7.42,6.61191123855114,lig_pfkfb3_20,6.24,6.191482344545424,lig_tnks2_1b,7.279999999999999,6.34900252366066
1h1r,5.643930373579361,6.555498438877548,206702qbs,6.681471680847535,6.336515032684976,CAT-13c,6.8580744565527585,6.771521452276842,ejm_43,6.078078863854697,6.975816241330729,27.0,4.5033707804831415,4.950192841267187,1c,6.298832333486224,6.232388283994032,18625-1,5.967702129038933,6.585044456293266,p38a_2c,7.6969376411525605,7.275461469788857,lig_cmet_CHEMBL3402743_42,7.38,7.3987590367794045,lig_cdk8_15,5.6,6.880101095557213,lig_syk_CHEMBL3264995,9.08,7.5576795411854985,lig_shp2_3,4.0,5.9568454864025115,lig_eg5_CHEMBL1078691,7.470000000000001,7.105152915477753,lig_hif2a_15,8.1,7.427333608882502,lig_pfkfb3_23,5.8,6.72047979915142,lig_tnks2_3a,8.06,6.908094330072403
1h1s,8.278255111182245,7.205918206776985,233302qbq,7.45410882455788,6.842099776303941,CAT-13d,7.704296090140277,7.085352862088816,ejm_44,5.459969148886422,6.920938834226952,28.0,4.871293229869019,5.361543729281027,1d,6.07072041486698,6.138718273357472,18626-1,6.5269442521054675,6.617535875385087,p38a_2e,7.873540416857779,7.292081581254311,lig_cmet_CHEMBL3402744_300,6.519999999999999,6.519516410946847,lig_cdk8_16,6.769999999999999,6.635090338110923,lig_syk_CHEMBL3264996,7.82,7.584272749498487,lig_shp2_4,4.27,6.444743844360113,lig_eg5_CHEMBL1078774,7.769999999999999,7.503778089363128,lig_hif2a_155,7.7,7.297497097969055,lig_pfkfb3_24,6.5,7.674715790987015,lig_tnks2_3b,8.44,5.760661674976349
1oi9,7.167129314036896,6.46637990375937,23466,5.776382455358277,5.40386981610077,CAT-13e,7.329015191766681,7.2293551003773375,ejm_45,7.034677232257979,7.387246449808852,29.0,5.106763597475981,5.7758172893281765,3a,6.122229557781003,5.8698956868210646,18627-1,6.239964741584484,6.602295511235875,p38a_2ee,9.021458458941716,7.760189465631552,lig_cmet_CHEMBL3402745_200,6.7,6.691599848017097,lig_cdk8_17,6.55,7.3261400595754385,lig_syk_CHEMBL3264997,8.05,8.486805369853974,lig_shp2_6,5.89,6.602521016780287,lig_eg5_CHEMBL1078998,7.6,6.517284779310226,lig_hif2a_156,7.139999999999999,6.993726787909866,lig_pfkfb3_26,6.720000000000001,7.450365809440614,lig_tnks2_5a,7.889999999999999,6.922879089355469
1oiu,6.681471680847535,7.1985756268161625,23467,5.401101556984682,5.277408947980577,CAT-13f,6.688830129835253,7.240226263015406,ejm_46,8.32240580510855,7.246715360558854,30.0,5.776382455358277,5.419182216500838,3b,5.783740904345995,6.006422819203681,18628-1,6.401850619314269,6.304749915768784,p38a_2f,6.239964741584484,7.290352247853585,lig_cmet_CHEMBL3402747_3400,5.47,6.835872436629609,lig_cdk8_18,8.0,7.343789912804961,lig_syk_CHEMBL3264998,8.59,7.544310988448561,lig_shp2_7,5.19,6.424307232961058,lig_eg5_CHEMBL1082248,8.52,7.758359801456332,lig_hif2a_163,8.07,7.2551427526474,lig_pfkfb3_29,7.07,7.328826419353485,lig_tnks2_5b,7.68,7.275697572097182
1oiy,7.203921558975482,7.135208921636948,23468,5.702797965481103,6.050404153576666,CAT-13g,6.688830129835253,7.258604795320766,ejm_47,7.137695518086024,7.353440617821441,31.0,5.8278915982723,5.838338675172042,5,5.577704332689904,5.460106374935231,18629-1,6.379775272351116,6.327250360764023,p38a_2ff,8.418065641948878,8.384494550724336,lig_cmet_CHEMBL3402748_5300,5.28,7.230810364603997,lig_cdk8_19,7.82,7.3950180039256805,lig_syk_CHEMBL3264999,8.37,7.643000675328077,lig_shp2_Example1,6.590000000000001,6.514872538536787,lig_eg5_CHEMBL1082249,8.22,7.9631936796605585,lig_hif2a_164,4.96,7.570851556777955,lig_pfkfb3_30,6.74,6.673210147857665,lig_tnks2_5c,7.3,7.6928570880889895
20,6.416567517289705,6.5170721964347464,23469,5.680722618517949,6.217306461370164,CAT-13h,7.0861863751720024,6.915779349787966,ejm_48,6.622604088945796,7.405258815204986,32.0,4.841859433918148,5.390200736498434,6a,6.755056170724711,6.519572540239414,18630-1,6.7256223747738435,6.3180435918936695,p38a_2g,7.844106620906909,7.290240620274849,lig_cmet_CHEMBL3402749_500,6.3,6.914446618303657,lig_cdk8_20,7.8,7.711941047430038,lig_syk_CHEMBL3265000,8.66,8.161479988098145,lig_shp2_Example14,7.17,6.633387252181768,lig_eg5_CHEMBL1083517,8.4,7.863137721702456,lig_hif2a_165,6.769999999999999,7.56218147110939,lig_pfkfb3_31,6.8,6.7730192908048625,lig_tnks2_5d,7.980000000000001,7.201768661323935
21,5.761665557382842,6.275599222387681,23470,5.680722618517949,6.450731109733307,CAT-13i,6.82128221161417,6.9261444868732855,ejm_49,5.702797965481103,6.8539068088450295,33.0,5.062612903549675,5.762511943777997,6b,6.541661150080903,6.389673089102826,18631-1,6.924300497442216,6.257743004729432,p38a_2gg,7.844106620906909,8.302394284133621,lig_cmet_CHEMBL3402750_400,6.4,7.071484785515816,lig_cdk8_21,7.110000000000001,7.784106306776404,lig_syk_CHEMBL3265001,8.82,8.148154207468034,lig_shp2_Example2,6.07,6.2768209213912485,lig_eg5_CHEMBL1083836,7.959999999999999,7.390759972542524,lig_hif2a_167,7.82,7.49800086352788,lig_pfkfb3_33,6.31,7.5176605769395834,lig_tnks2_5e,7.409999999999999,7.730848421096802
22,5.783740904345995,6.4928034474510055,23471,5.702797965481103,5.902032273447686,CAT-13j,6.423925966277421,6.657475394218103,ejm_50,6.607887190970361,7.0234302122660734,34.0,5.0552544545619575,5.757996626695592,6e,6.556378048056338,6.525165699661693,18632-1,6.681471680847535,6.413587982600015,p38a_2h,6.975809640356237,7.523154721979805,lig_cmet_CHEMBL3402751_2100,5.68,6.93338157747686,lig_cdk8_22,7.49,7.838386161670089,lig_syk_CHEMBL3265002,7.779999999999999,7.549301071008668,lig_shp2_Example22,6.769999999999999,7.087069899082183,lig_eg5_CHEMBL1084115,6.92,6.487854467019439,lig_hif2a_206,7.42,7.3685117764472965,lig_pfkfb3_34,7.31,7.318337565749883,lig_tnks2_5f,7.519999999999999,7.201647973839194
26,6.203172496645895,6.286475075911293,23472,6.365058374375682,6.88580227736252,CAT-13k,7.137695518086024,6.789568191741468,ejm_54,7.748446784066582,7.137756500444636,35.0,6.4827935581791625,5.929656886434157,7a,6.048645067903827,6.1939631778579045,18633-1,6.747697721736995,6.402472157423776,p38a_2i,7.395241232656138,7.320934550662346,lig_cmet_CHEMBL3402752_30000,4.52,6.952724014863373,lig_cdk8_23,6.57,7.944082416638731,lig_syk_CHEMBL3265003,7.93,7.564009250220844,lig_shp2_Example23,6.409999999999999,6.9600803464241325,lig_eg5_CHEMBL1084143,8.7,8.559067212104797,lig_hif2a_215,7.769999999999999,7.509243062704802,lig_pfkfb3_35,7.43,7.199422446448355,lig_tnks2_5g,7.92,7.6903952374458315
28,8.1752368253542,7.112652684971252,23473,6.173738700695026,5.975465621984178,CAT-13m,6.446001313240575,7.156915754659908,ejm_55,6.777131517687866,6.782153692147956,36.0,6.0192112719529565,6.1758408026154825,,,,18634-1,7.351090538729833,6.621895970051568,p38a_2j,7.417316579619291,7.660724482883521,lig_cmet_CHEMBL3402753_200,6.7,7.222275912284852,lig_cdk8_24,7.540000000000001,7.3860057041496034,lig_syk_CHEMBL3265004,7.959999999999999,7.561641390142031,lig_shp2_Example24,6.65,6.761217803001403,lig_eg5_CHEMBL1084431,7.19,8.373756967172026,lig_hif2a_224,7.08,6.811617592543364,lig_pfkfb3_36,5.45,7.068322620257734,lig_tnks2_5h,7.37,6.946647603750229
29,7.270147599864941,7.103784192855963,23474,6.703547027810688,6.425939025542313,CAT-13n,6.284115435510788,7.054894345944389,jmc_23,8.609385315629533,7.420123782153503,37.0,6.585811844007208,6.1509364263936614,,,,18635-1,5.364309312046095,6.59507868068425,p38a_2k,7.763163682042017,7.807987128023811,lig_cmet_CHEMBL3402754_40,7.4,7.138427447423339,lig_cdk8_25,7.139999999999999,7.678756971701979,lig_syk_CHEMBL3265005,7.57,7.202661522626878,lig_shp2_Example25,6.5,7.1081680896282196,lig_eg5_CHEMBL1084676,7.85,8.154305712658912,lig_hif2a_227,7.889999999999999,7.446768263548613,lig_pfkfb3_37,7.33,7.817203179836274,lig_tnks2_5i,8.85,7.233427412003278
30,7.218638456950918,6.863719047735938,23475,6.416567517289705,6.301606191972816,CAT-13o,6.284115435510788,7.200891137703197,jmc_27,8.300330458145396,7.501112582679168,38.0,5.165631189377721,5.9832186660114415,,,,18636-1,5.526195189775881,7.301012400604245,p38a_2l,9.021458458941716,7.8989634676664675,lig_cmet_CHEMBL3402755_4200,5.38,7.066720520297997,lig_cdk8_26,7.44,7.808825717911124,lig_syk_CHEMBL3265006,7.3,7.181500610113145,lig_shp2_Example26,6.57,7.304140192508697,lig_eg5_CHEMBL1084677,8.4,8.568847195863723,lig_hif2a_23,5.18,7.1986924985498195,lig_pfkfb3_38,6.42,6.556285045105963,lig_tnks2_5j,8.12,7.547779739588499
31,7.019960334282542,6.6367626590091096,23476,6.924300497442216,6.602051701581651,CAT-17a,7.895615763820932,7.56847482083632,jmc_28,8.079576988513871,7.339338805950509,39.0,5.172989638365438,5.691992678618033,,,,18637-1,7.461467273545597,7.494203962033074,p38a_2m,8.064860090538437,8.23561802936048,lig_cmet_CHEMBL3402756_2.7,8.57,7.880542879074812,lig_cdk8_27,6.17,7.7054676071722055,lig_syk_CHEMBL3265008,7.17,7.448510021865369,lig_shp2_Example27,6.24,6.4260552196353675,lig_eg5_CHEMBL1084678,8.15,8.701198701620102,lig_hif2a_231,7.35,7.1964075429439545,lig_pfkfb3_39,5.28,6.547680107221007,lig_tnks2_5k,8.04,7.491048437739723
32,7.174487763024612,7.403380485381493,23477,6.512227354130031,6.22824793038758,CAT-17b,7.373165885692986,6.870854974000589,jmc_30,8.050143192563,7.846997623942121,40.0,5.334875516095224,5.911599655574162,,,,18638-1,7.42467502860701,7.532546372359079,p38a_2n,8.719762050445297,8.128642647166558,lig_cmet_CHEMBL3402757_6.5,8.19,7.665023183345795,lig_cdk8_28,4.52,7.529301156520843,lig_syk_CHEMBL3265009,7.55,7.386864181756974,lig_shp2_Example28,6.2,6.662288558721542,lig_eg5_CHEMBL1084935,7.720000000000001,7.447328499764204,lig_hif2a_234,7.590000000000001,7.405209335878491,lig_pfkfb3_41,5.42,6.492334339112043,lig_tnks2_5l,7.4,7.506089950013906
,,,23479,6.7256223747738435,6.787054374253922,CAT-17c,7.255430701889506,7.398445343899415,,,,41.0,5.246574128242614,5.8298432191218925,,,,18639-1,7.167129314036896,7.1990791175713955,p38a_2o,7.71901298811571,8.449531658191987,lig_cmet_CHEMBL3402758_10,8.0,7.454094519734383,lig_cdk8_29,6.74,8.160741837367414,lig_syk_CHEMBL3265010,7.43,7.460518079400063,lig_shp2_Example29,5.59,4.808221286773682,lig_eg5_CHEMBL1085666,7.7,7.548740141153336,lig_hif2a_235,7.42,7.111140565395355,lig_pfkfb3_42,6.21,6.446900418210774,lig_tnks2_5m,9.3,7.563889289215207
,,,23480,6.416567517289705,6.833222129380876,CAT-17d,6.931658946429932,6.8823980605442685,,,,42.0,6.54901959906862,6.081330491354663,,,,18652-1,7.858823518882343,7.574381239359658,p38a_2p,8.241462866243657,8.551915059809394,lig_cmet_CHEMBL3402759_5.7,8.24,7.641033252596856,lig_cdk8_30,8.52,8.001216335266829,lig_syk_CHEMBL3265011,6.33,7.4049130225181585,lig_shp2_Example3,6.02,5.539651453360915,lig_eg5_CHEMBL1085692,8.3,8.175774924516677,lig_hif2a_237,7.0,7.374826471328736,lig_pfkfb3_43,5.86,6.635179911689832,lig_tnks2_5n,7.85,8.02750189417135
,,,23482,7.365807436705268,7.140001171267206,CAT-17e,7.373165885692986,7.187833944543139,,,,43.0,5.172989638365438,6.040174945196111,,,,18658-1,7.137695518086024,6.964406142031234,p38a_2q,9.021458458941716,8.73115843926818,lig_cmet_CHEMBL3402760_1,9.0,7.987908955931664,lig_cdk8_31,8.7,7.999829734534025,lig_syk_CHEMBL3265012,7.730000000000001,7.761047842875124,lig_shp2_Example30,6.709999999999999,6.439772429928183,lig_eg5_CHEMBL1085895,7.959999999999999,7.748580936774611,lig_hif2a_25,7.540000000000001,6.9691443180739885,lig_pfkfb3_44,7.290000000000001,6.673051599130034,lig_tnks2_5o,8.82,7.961845506295562
,,,23483,7.262789150877221,7.502596541306549,CAT-17f,6.931658946429932,7.676580959766045,,,,44.0,6.379775272351116,6.479440267508823,,,,18659-1,6.968451191368521,6.866579030101579,p38a_2r,7.939766457747237,8.006927530293174,lig_cmet_CHEMBL3402761_1,9.0,8.053793799027801,lig_cdk8_32,6.959999999999999,7.401239772185683,lig_syk_CHEMBL3265013,7.19,7.595464333295823,lig_shp2_Example4,6.01,5.35483984375,lig_eg5_CHEMBL1086409,7.24,7.768580729946494,lig_hif2a_251,7.51,7.183003191098571,lig_pfkfb3_46,5.76,6.51442522676289,lig_tnks2_5p,7.7,7.725222875118256
,,,23484,5.702797965481103,7.438170584173487,CAT-17g,7.167129314036896,7.266163501723544,,,,45.0,6.585811844007208,6.306442579006751,,,,18660-1,6.401850619314269,7.426956505348366,p38a_2s,8.1752368253542,8.30973346038983,lig_cmet_CHEMBL3402762_1,9.0,8.316048371315002,lig_cdk8_33,8.1,7.889949677184224,lig_syk_CHEMBL3265014,7.62,7.664960751459003,lig_shp2_Example5,5.54,6.653148090751841,lig_eg5_CHEMBL1086410,8.4,7.07749243235588,lig_hif2a_252,7.12,7.4908326303660875,lig_pfkfb3_47,6.11,6.46907549509406,lig_tnks2_7,6.15,7.032467241153121
,,,23485,8.101652335477024,7.496555521221445,CAT-17h,7.60127780431223,7.376503317638175,,,,46.0,5.592421230665339,6.224761017536719,,,,,,,p38a_2t,8.719762050445297,8.248502440576264,lig_cmet_CHEMBL3402763_90,7.05,6.6661161295026545,lig_cdk8_34,8.15,7.824850465402006,lig_syk_CHEMBL3265015,6.95,7.615881754606963,lig_shp2_Example6,6.65,6.784862327814102,lig_eg5_CHEMBL1088740,6.38,6.490722058493644,lig_hif2a_254,7.0,7.4938910282291475,lig_pfkfb3_48,5.87,6.200456458512694,lig_tnks2_8a,7.92,8.76296539412439
,,,23486,9.175985887683789,7.663203754460985,CAT-17i,6.968451191368521,7.148371386735574,,,,47.0,4.253183514900744,5.962852632006604,,,,,,,p38a_2u,9.021458458941716,8.91318967771978,lig_cmet_CHEMBL3402764_90,7.05,6.983420269226656,lig_cdk8_35,8.4,8.03385966545716,lig_syk_CHEMBL3265016,8.57,7.325684269666672,lig_shp2_Example8,7.12,6.557057695701718,lig_eg5_CHEMBL1089056,6.92,6.587792305335403,lig_hif2a_256,7.82,7.202793578624726,lig_pfkfb3_49,5.82,6.536991101592778,lig_tnks2_8b,8.74,9.003644646644592
,,,,,,CAT-24,8.35183960105942,7.298413294761315,,,,48.0,4.900727025819889,6.0902948511149475,,,,,,,p38a_2v,6.600528741982645,7.074370499153443,lig_cmet_CHEMBL3402765_11-charged-pKa-8.1,7.959999999999999,7.475678255677224,lig_cdk8_36,8.22,7.859735472172498,lig_syk_CHEMBL3265017,8.42,7.524645664319396,lig_shp2_Example9,6.45,6.659250942111015,lig_eg5_CHEMBL1089393,6.14,6.773831794843078,lig_hif2a_266,7.720000000000001,7.819001178264618,lig_pfkfb3_52,7.62,7.273274634122847,lig_tnks2_8c,7.42,8.914203347206115
,,,,,,CAT-4a,5.8352500472600175,5.799521875961558,,,,49.0,6.151663353731872,6.518501790039215,,,,,,,p38a_2x,7.527693314435055,7.680688716389992,,,,lig_cdk8_37,8.4,7.855481417521834,lig_syk_CHEMBL3265018,8.2,7.661361869201064,lig_shp2_SHP099-1_Example7,7.15,6.473137202724814,lig_eg5_CHEMBL1093087,7.720000000000001,7.792788957118988,lig_hif2a_289,8.0,7.26096835565567,lig_pfkfb3_53,5.13,7.320551494598388,lig_tnks2_8d,9.15,8.963511176347733
,,,,,,CAT-4b,7.0861863751720024,6.199956632240549,,,,50.0,6.865432905540475,6.61633257468601,,,,,,,p38a_2y,7.196563109987766,7.388676701684304,,,,lig_cdk8_38,8.3,7.906191213101148,lig_syk_CHEMBL3265019,7.9,7.812467364743353,lig_shp2_SHP836-2,4.92,6.4365770904868835,lig_eg5_CHEMBL1093088,8.22,7.695687986969948,lig_hif2a_290,7.74,7.731880537986756,lig_pfkfb3_54,6.0,7.256141958475112,lig_tnks2_8e,7.51,8.932822014331817
,,,,,,CAT-4c,5.776382455358277,6.072998726948038,,,,51.0,6.21788939462133,6.440160466948498,,,,,,,p38a_2z,7.623353151275383,7.399069808249183,,,,lig_cdk8_39,8.4,7.865954388350248,lig_syk_CHEMBL3265020,8.07,7.217358695864678,,,,lig_eg5_CHEMBL1096002,8.15,7.815976870864629,lig_hif2a_30,7.74,7.204556022405624,lig_pfkfb3_55,7.8,7.329836986303329,lig_tnks2_8f,8.66,8.950669528484344
