Entry Name,MMGBSA dG Bind
_home_yujie_leadopt_data_result_selection_BCL6_lig_1_sdf_1.1,-53.07
_home_yujie_leadopt_data_result_selection_BCL6_lig_13b_sdf_1.1,-52.82
_home_yujie_leadopt_data_result_selection_BCL6_lig_13a_sdf_1.1,-52.72
_home_yujie_leadopt_data_result_selection_BCL6_lig_11c_sdf_1.1,-52.46
_home_yujie_leadopt_data_result_selection_BCL6_lig_11b_sdf_1.1,-52.44
_home_yujie_leadopt_data_result_selection_BCL6_lig_7_sdf_1.1,-52.36
_home_yujie_leadopt_data_result_selection_BCL6_lig_11e_sdf_1.1,-52.08
_home_yujie_leadopt_data_result_selection_BCL6_lig_9a_sdf_1.1,-51.83
_home_yujie_leadopt_data_result_selection_BCL6_lig_9r_sdf_1.1,-51.8
_home_yujie_leadopt_data_result_selection_BCL6_lig_13c_sdf_1.1,-50.76
_home_yujie_leadopt_data_result_selection_BCL6_lig_11d_sdf_1.1,-50.53
_home_yujie_leadopt_data_result_selection_BCL6_lig_13d_sdf_1.1,-49.67
_home_yujie_leadopt_data_result_selection_BCL6_lig_8_sdf_1.1,-48.56
_home_yujie_leadopt_data_result_selection_BCL6_lig_3_sdf_1.1,-48.52
_home_yujie_leadopt_data_result_selection_BCL6_lig_12b_sdf_1.1,-47.7
_home_yujie_leadopt_data_result_selection_BCL6_lig_9b_sdf_1.1,-47.6
_home_yujie_leadopt_data_result_selection_BCL6_lig_5b_sdf_1.1,-47.34
_home_yujie_leadopt_data_result_selection_BCL6_lig_6_sdf_1.1,-46.59
_home_yujie_leadopt_data_result_selection_BCL6_lig_14_sdf_1.1,-46.57
_home_yujie_leadopt_data_result_selection_BCL6_lig_12a_sdf_1.1,-46.41
_home_yujie_leadopt_data_result_selection_BCL6_lig_11a_sdf_1.1,-46.33
_home_yujie_leadopt_data_result_selection_BCL6_lig_4_sdf_1.1,-45.15
_home_yujie_leadopt_data_result_selection_BCL6_lig_10_sdf_1.1,-42.53
_home_yujie_leadopt_data_result_selection_BCL6_lig_5a_sdf_1.1,-42.29
_home_yujie_leadopt_data_result_selection_BCL6_lig_2_sdf_1.1,-41.17
