Entry Name,MMGBSA dG Bind
_home_yujie_leadopt_data_result_selection_HO1_lig_7m_sdf_1.1,-63.8
_home_yujie_leadopt_data_result_selection_HO1_lig_7o_sdf_1.1,-59.07
_home_yujie_leadopt_data_result_selection_HO1_lig_7p_sdf_1.1,-57.11
_home_yujie_leadopt_data_result_selection_HO1_lig_7l_sdf_1.1,-56.06
_home_yujie_leadopt_data_result_selection_HO1_lig_11b_sdf_1.1,-54.65
_home_yujie_leadopt_data_result_selection_HO1_lig_7h_sdf_1.1,-54.5
_home_yujie_leadopt_data_result_selection_HO1_lig_7g_sdf_1.1,-54.03
_home_yujie_leadopt_data_result_selection_HO1_lig_7n_sdf_1.1,-51.56
_home_yujie_leadopt_data_result_selection_HO1_lig_7i_sdf_1.1,-49.86
_home_yujie_leadopt_data_result_selection_HO1_lig_11a_sdf_1.1,-43.21
_home_yujie_leadopt_data_result_selection_HO1_lig_7b_sdf_1.1,-42.71
_home_yujie_leadopt_data_result_selection_HO1_lig_7d_sdf_1.1,-41.67
_home_yujie_leadopt_data_result_selection_HO1_lig_11c_sdf_1.1,-41.54
_home_yujie_leadopt_data_result_selection_HO1_lig_7j_sdf_1.1,-41.31
_home_yujie_leadopt_data_result_selection_HO1_lig_7f_sdf_1.1,-35.94
_home_yujie_leadopt_data_result_selection_HO1_lig_7k_sdf_1.1,-35.56
_home_yujie_leadopt_data_result_selection_HO1_lig_7c_sdf_1.1,-32.33
_home_yujie_leadopt_data_result_selection_HO1_lig_7e_sdf_1.1,-31.12
_home_yujie_leadopt_data_result_selection_HO1_lig_7a_sdf_1.1,-30.55
