"Entry Name","MMGBSA dG Bind"
"LRRK2_lig_22.1",-69.50
"LRRK2_lig_24.1",-69.34
"LRRK2_lig_13.1",-67.44
"LRRK2_lig_20.1",-67.34
"LRRK2_lig_21.1",-66.63
"LRRK2_lig_15.1",-65.47
"LRRK2_lig_14.1",-63.96
"LRRK2_lig_12.1",-63.53
"LRRK2_lig_17.1",-63.19
"LRRK2_lig_19.1",-62.73
"LRRK2_lig_18.1",-60.68
"LRRK2_lig_7.1",-60.64
"LRRK2_lig_16.1",-59.53
"LRRK2_lig_11.1",-57.40
"LRRK2_lig_10.1",-55.54
"LRRK2_lig_9.1",-54.07
"LRRK2_lig_8.1",-52.58
"LRRK2_lig_5.1",-52.44
"LRRK2_lig_6.1",-46.40
"LRRK2_lig_23.1",-46.34
