"Entry Name","MMGBSA dG Bind"
"PSK13_lig_28.1",-85.27
"PSK13_lig_41.1",-82.86
"PSK13_lig_46.1",-82.34
"PSK13_lig_35.1",-78.74
"PSK13_lig_12.1",-77.70
"PSK13_lig_38.1",-76.28
"PSK13_lig_15.1",-75.42
"PSK13_lig_24.1",-75.05
"PSK13_lig_42.1",-73.85
"PSK13_lig_44.1",-71.64
"PSK13_lig_39.1",-71.34
"PSK13_lig_43.1",-70.79
"PSK13_lig_17.1",-68.41
"PSK13_lig_20.1",-67.88
"PSK13_lig_13.1",-67.63
"PSK13_lig_37.1",-66.57
"PSK13_lig_6.1",-65.46
"PSK13_lig_14.1",-64.75
"PSK13_lig_18.1",-62.13
"PSK13_lig_30.1",-61.20
"PSK13_lig_31.1",-59.41
"PSK13_lig_34.1",-57.65
"PSK13_lig_33.1",-57.64
"PSK13_lig_23.1",-54.22
"PSK13_lig_36.1",-51.88
"PSK13_lig_40.1",-51.52
"PSK13_lig_22.1",-49.07
"PSK13_lig_26.1",-47.64
"PSK13_lig_1.1",-47.48
"PSK13_lig_45.1",-47.26
"PSK13_lig_29.1",-47.02
"PSK13_lig_47.1",-40.64
"PSK13_lig_16.1",-39.15
"PSK13_lig_27.1",-37.36
"PSK13_lig_21.1",-36.86
"PSK13_lig_32.1",-35.78
"PSK13_lig_19.1",-35.03
"PSK13_lig_25.1",-34.69
