"Entry Name","MMGBSA dG Bind"
"WDR5_lig_29.1",-118.52
"WDR5_lig_35.1",-113.82
"WDR5_lig_21.1",-111.30
"WDR5_lig_11.1",-111.21
"WDR5_lig_12.1",-110.97
"WDR5_lig_4.1",-110.36
"WDR5_lig_5.1",-110.26
"WDR5_lig_6.1",-109.44
"WDR5_lig_28.1",-109.32
"WDR5_lig_8.1",-107.89
"WDR5_lig_13.1",-107.74
"WDR5_lig_10.1",-106.33
"WDR5_lig_2.1",-105.96
"WDR5_lig_22.1",-102.34
"WDR5_lig_3.1",-100.17
"WDR5_lig_19.1",-81.01
"WDR5_lig_26.1",-74.31
"WDR5_lig_27.1",-73.87
"WDR5_lig_23.1",-71.43
"WDR5_lig_39.1",-71.03
"WDR5_lig_25.1",-70.65
