Entry Name,MMGBSA dG Bind
_home_yujie_leadopt_data_result_selection_sEH_lig_11k_sdf_1.1,-100.12
_home_yujie_leadopt_data_result_selection_sEH_lig_8c_sdf_1.1,-98.03
_home_yujie_leadopt_data_result_selection_sEH_lig_11g_sdf_1.1,-97.37
_home_yujie_leadopt_data_result_selection_sEH_lig_8e_sdf_1.1,-96.48
_home_yujie_leadopt_data_result_selection_sEH_lig_9c_sdf_1.1,-95.23
_home_yujie_leadopt_data_result_selection_sEH_lig_11j_sdf_1.1,-94.96
_home_yujie_leadopt_data_result_selection_sEH_lig_10b_sdf_1.1,-93.44
_home_yujie_leadopt_data_result_selection_sEH_lig_11f_sdf_1.1,-92.84
_home_yujie_leadopt_data_result_selection_sEH_lig_6b_sdf_1.1,-91.99
_home_yujie_leadopt_data_result_selection_sEH_lig_8g_sdf_1.1,-91.58
_home_yujie_leadopt_data_result_selection_sEH_lig_10c_sdf_1.1,-91.3
_home_yujie_leadopt_data_result_selection_sEH_lig_8f_sdf_1.1,-90.92
_home_yujie_leadopt_data_result_selection_sEH_lig_11l_sdf_1.1,-90.78
_home_yujie_leadopt_data_result_selection_sEH_lig_7d_sdf_1.1,-90.62
_home_yujie_leadopt_data_result_selection_sEH_lig_11h_sdf_1.1,-90.56
_home_yujie_leadopt_data_result_selection_sEH_lig_h_sdf_1.1,-90.3
_home_yujie_leadopt_data_result_selection_sEH_lig_7f_sdf_1.1,-90.14
_home_yujie_leadopt_data_result_selection_sEH_lig_7c_sdf_1.1,-89.03
_home_yujie_leadopt_data_result_selection_sEH_lig_9a_sdf_1.1,-87.17
_home_yujie_leadopt_data_result_selection_sEH_lig_8a_sdf_1.1,-86.99
_home_yujie_leadopt_data_result_selection_sEH_lig_8d_sdf_1.1,-84.87
_home_yujie_leadopt_data_result_selection_sEH_lig_6k_sdf_1.1,-84.77
_home_yujie_leadopt_data_result_selection_sEH_lig_7b_sdf_1.1,-84.59
_home_yujie_leadopt_data_result_selection_sEH_lig_6l_sdf_1.1,-84.58
_home_yujie_leadopt_data_result_selection_sEH_lig_7g_sdf_1.1,-84.19
_home_yujie_leadopt_data_result_selection_sEH_lig_7e_sdf_1.1,-83.9
_home_yujie_leadopt_data_result_selection_sEH_lig_7a_sdf_1.1,-83.33
_home_yujie_leadopt_data_result_selection_sEH_lig_6e_sdf_1.1,-81.9
_home_yujie_leadopt_data_result_selection_sEH_lig_6h_sdf_1.1,-81.64
_home_yujie_leadopt_data_result_selection_sEH_lig_6j_sdf_1.1,-81.61
_home_yujie_leadopt_data_result_selection_sEH_lig_6m_sdf_1.1,-81.57
_home_yujie_leadopt_data_result_selection_sEH_lig_11n_sdf_1.1,-81.45
_home_yujie_leadopt_data_result_selection_sEH_lig_6f_sdf_1.1,-81.13
_home_yujie_leadopt_data_result_selection_sEH_lig_6g_sdf_1.1,-81.09
_home_yujie_leadopt_data_result_selection_sEH_lig_6i_sdf_1.1,-81
_home_yujie_leadopt_data_result_selection_sEH_lig_6n_sdf_1.1,-80.75
_home_yujie_leadopt_data_result_selection_sEH_lig_11e_sdf_1.1,-80.48
_home_yujie_leadopt_data_result_selection_sEH_lig_6d_sdf_1.1,-80.04
_home_yujie_leadopt_data_result_selection_sEH_lig_6a_sdf_1.1,-80.01
_home_yujie_leadopt_data_result_selection_sEH_lig_6c_sdf_1.1,-79.01
_home_yujie_leadopt_data_result_selection_sEH_lig_11m_sdf_1.1,-77.21
_home_yujie_leadopt_data_result_selection_sEH_lig_11i_sdf_1.1,-75.84
_home_yujie_leadopt_data_result_selection_sEH_lig_10d_sdf_1.1,-74.34
_home_yujie_leadopt_data_result_selection_sEH_lig_8b_sdf_1.1,-73.47
_home_yujie_leadopt_data_result_selection_sEH_lig_11c_sdf_1.1,-73.16
_home_yujie_leadopt_data_result_selection_sEH_lig_11d_sdf_1.1,-72.28
_home_yujie_leadopt_data_result_selection_sEH_lig_11b_sdf_1.1,-71.91
_home_yujie_leadopt_data_result_selection_sEH_lig_11a_sdf_1.1,-69.85
_home_yujie_leadopt_data_result_selection_sEH_lig_11o_sdf_1.1,-69.04
_home_yujie_leadopt_data_result_selection_sEH_lig_9b_sdf_1.1,-68.05
_home_yujie_leadopt_data_result_selection_sEH_lig_10a_sdf_1.1,-60.38
