ligand1_num_CDK2,abs_label_CDK2,abs_predict_CDK2,ligand1_num_PTP1B,abs_label_PTP1B,abs_predict_PTP1B,ligand1_num_Bace,abs_label_Bace,abs_predict_Bace,ligand1_num_Tyk2,abs_label_Tyk2,abs_predict_Tyk2,ligand1_num_MCL1,abs_label_MCL1,abs_predict_MCL1,ligand1_num_Thrombin,abs_label_Thrombin,abs_predict_Thrombin,ligand1_num_Jnk1,abs_label_Jnk1,abs_predict_Jnk1,ligand1_num_p38,abs_label_p38,abs_predict_p38,ligand1_num_cmet,abs_label_cmet,abs_predict_cmet,ligand1_num_cdk8,abs_label_cdk8,abs_predict_cdk8,ligand1_num_syk,abs_label_syk,abs_predict_syk,ligand1_num_shp2,abs_label_shp2,abs_predict_shp2,ligand1_num_eg5,abs_label_eg5,abs_predict_eg5,ligand1_num_hif2a,abs_label_hif2a,abs_predict_hif2a,ligand1_num_pfkfb3,abs_label_pfkfb3,abs_predict_pfkfb3,ligand1_num_tnks2,abs_label_tnks2,abs_predict_tnks2
17,5.180348087353155,6.539214002104272,206672qbp,8.403348743973442,7.452979039585763,CAT-13a,6.504868905142315,6.620675863905684,ejm_31,7.019960334282542,6.886931712604389,23.0,6.497510456154598,5.7633195706959555,1a,5.504119842812728,5.929555895418844,17124-1,7.1229786201105885,7.53619703466205,p38a_2aa,6.82128221161417,8.098619400163003,lig_cmet_CHEMBL3402741_400,6.4,6.305009077012539,lig_cdk8_13,7.92,7.1699765671491615,lig_syk_CHEMBL3259820,7.75,7.30174627840519,lig_shp2_10,5.24,5.89819145077467,lig_eg5_CHEMBL1077204,8.1,7.961417025387287,lig_hif2a_1,8.3,7.6883078618049625,lig_pfkfb3_19,5.53,6.863800438582897,lig_tnks2_1a,6.27,6.27663286024332
1h1q,6.0192112719529565,5.984220886732945,206692qbr,6.335624578424811,6.012537231481248,CAT-13b,6.710905476798405,6.919942844494121,ejm_42,7.196563109987766,7.077453571982012,26.0,6.063361965879262,5.69910941359957,1b,6.225247843609049,6.002392768354139,18624-1,6.2473231905722,6.125831115638297,p38a_2bb,6.666754782872101,7.960236732859917,lig_cmet_CHEMBL3402742_23,7.639999999999999,7.5393375988006595,lig_cdk8_14,6.08,6.175946432769299,lig_syk_CHEMBL3264994,7.19,7.175153296589852,lig_shp2_11,4.66,6.314691192895173,lig_eg5_CHEMBL1077227,8.3,6.747800292134285,lig_hif2a_124,7.42,7.096064160212874,lig_pfkfb3_20,6.24,5.832930395841599,lig_tnks2_1b,7.279999999999999,6.564608789920807
1h1r,5.643930373579361,6.450640644635568,206702qbs,6.681471680847535,6.564753251707726,CAT-13c,6.8580744565527585,6.833227582855956,ejm_43,6.078078863854697,7.075003184057103,27.0,4.5033707804831415,4.740805920338232,1c,6.298832333486224,5.989310253650865,18625-1,5.967702129038933,6.652979614978117,p38a_2c,7.6969376411525605,7.7086871551469045,lig_cmet_CHEMBL3402743_42,7.38,7.358833524107934,lig_cdk8_15,5.6,7.162105545818806,lig_syk_CHEMBL3264995,9.08,7.801630983650685,lig_shp2_3,4.0,5.883005291461944,lig_eg5_CHEMBL1078691,7.470000000000001,6.952023761034011,lig_hif2a_15,8.1,8.411936394691468,lig_pfkfb3_23,5.8,6.471257714271545,lig_tnks2_3a,8.06,7.046063722610474
1h1s,8.278255111182245,7.187041500713238,233302qbq,7.45410882455788,6.791331228053743,CAT-13d,7.704296090140277,7.1367758913178605,ejm_44,5.459969148886422,7.056508609331475,28.0,4.871293229869019,5.091420158123571,1d,6.07072041486698,5.895065220684728,18626-1,6.5269442521054675,6.634640097265523,p38a_2e,7.873540416857779,7.648205772240468,lig_cmet_CHEMBL3402744_300,6.519999999999999,6.689169415354729,lig_cdk8_16,6.769999999999999,6.709553625106811,lig_syk_CHEMBL3264996,7.82,7.596530918180943,lig_shp2_4,4.27,6.337562018871307,lig_eg5_CHEMBL1078774,7.769999999999999,7.452763223335147,lig_hif2a_155,7.7,8.0685780210495,lig_pfkfb3_24,6.5,7.296876671254635,lig_tnks2_3b,8.44,5.803701025187969
1oi9,7.167129314036896,6.393584241475472,23466,5.776382455358277,5.188725062644655,CAT-13e,7.329015191766681,7.287441873385445,ejm_45,7.034677232257979,7.467972770757304,29.0,5.106763597475981,5.58881629047354,3a,6.122229557781003,5.78500672975274,18627-1,6.239964741584484,6.620225008969586,p38a_2ee,9.021458458941716,7.846698948939152,lig_cmet_CHEMBL3402745_200,6.7,6.9089087637960915,lig_cdk8_17,6.55,7.4916753087639805,lig_syk_CHEMBL3264997,8.05,8.623222329616548,lig_shp2_6,5.89,6.48836296671629,lig_eg5_CHEMBL1078998,7.6,6.411883708894253,lig_hif2a_156,7.139999999999999,7.4315719289779665,lig_pfkfb3_26,6.720000000000001,7.132813172876834,lig_tnks2_5a,7.889999999999999,7.052327777385711
1oiu,6.681471680847535,7.158551204707035,23467,5.401101556984682,5.184905501640015,CAT-13f,6.688830129835253,7.350387673660056,ejm_46,8.32240580510855,7.32546195653759,30.0,5.776382455358277,5.136585595583517,3b,5.783740904345995,5.688592709840259,18628-1,6.401850619314269,6.489301021044534,p38a_2f,6.239964741584484,7.646124062140293,lig_cmet_CHEMBL3402747_3400,5.47,6.806671927392483,lig_cdk8_18,8.0,7.507117531120777,lig_syk_CHEMBL3264998,8.59,8.005652987360955,lig_shp2_7,5.19,6.378084228426218,lig_eg5_CHEMBL1082248,8.52,7.576097485482693,lig_hif2a_163,8.07,7.957269178152084,lig_pfkfb3_29,7.07,6.95644254618883,lig_tnks2_5b,7.68,7.415463330537081
1oiy,7.203921558975482,6.986495011057267,23468,5.702797965481103,6.0440824316801365,CAT-13g,6.688830129835253,7.353530652656095,ejm_47,7.137695518086024,7.43992571798645,31.0,5.8278915982723,5.633252549296219,5,5.577704332689904,5.547875418753347,18629-1,6.379775272351116,6.50814081097154,p38a_2ff,8.418065641948878,8.52447501440794,lig_cmet_CHEMBL3402748_5300,5.28,7.208887871623039,lig_cdk8_19,7.82,7.53892986369133,lig_syk_CHEMBL3264999,8.37,7.805650128200651,lig_shp2_Example1,6.590000000000001,6.4787564876079555,lig_eg5_CHEMBL1082249,8.22,7.867847167015076,lig_hif2a_164,4.96,7.957005749464035,lig_pfkfb3_30,6.74,6.386614380121231,lig_tnks2_5c,7.3,7.562081196844578
20,6.416567517289705,6.4401374494093755,23469,5.680722618517949,6.171765234506303,CAT-13h,7.0861863751720024,7.104868091664152,ejm_48,6.622604088945796,7.5302492268898344,32.0,4.841859433918148,5.110486378645499,6a,6.755056170724711,6.416221355886182,18630-1,6.7256223747738435,6.502799926345628,p38a_2g,7.844106620906909,7.658803586860008,lig_cmet_CHEMBL3402749_500,6.3,7.035954641819001,lig_cdk8_20,7.8,7.7501160774827,lig_syk_CHEMBL3265000,8.66,8.661933579444886,lig_shp2_Example14,7.17,6.454409981012344,lig_eg5_CHEMBL1083517,8.4,7.957690100431442,lig_hif2a_165,6.769999999999999,7.978244511604309,lig_pfkfb3_31,6.8,6.4975784295201295,lig_tnks2_5d,7.980000000000001,7.439149212777615
21,5.761665557382842,6.239446239675889,23470,5.680722618517949,6.60558032486456,CAT-13i,6.82128221161417,7.213660950048701,ejm_49,5.702797965481103,6.796786822057591,33.0,5.062612903549675,5.45249635962208,6b,6.541661150080903,6.215654749662599,18631-1,6.924300497442216,6.464405721818489,p38a_2gg,7.844106620906909,8.55830795188696,lig_cmet_CHEMBL3402750_400,6.4,7.2253544683456425,lig_cdk8_21,7.110000000000001,7.91004555863142,lig_syk_CHEMBL3265001,8.82,8.36176011800766,lig_shp2_Example2,6.07,6.251754638046026,lig_eg5_CHEMBL1083836,7.959999999999999,7.133250857949257,lig_hif2a_167,7.82,8.295151786327363,lig_pfkfb3_33,6.31,7.073180975854396,lig_tnks2_5e,7.409999999999999,7.569869337916375
22,5.783740904345995,6.3841808748799656,23471,5.702797965481103,5.9701019996764,CAT-13j,6.423925966277421,6.464815301283137,ejm_50,6.607887190970361,7.03918766347252,34.0,5.0552544545619575,5.532384611045916,6e,6.556378048056338,6.387561061472615,18632-1,6.681471680847535,6.575799011831563,p38a_2h,6.975809640356237,7.852120458346613,lig_cmet_CHEMBL3402751_2100,5.68,7.149680540978909,lig_cdk8_22,7.49,7.918760692000388,lig_syk_CHEMBL3265002,7.779999999999999,7.154418107271195,lig_shp2_Example22,6.769999999999999,7.112570077419281,lig_eg5_CHEMBL1084115,6.92,6.388006827294826,lig_hif2a_206,7.42,8.13624312710762,lig_pfkfb3_34,7.31,7.024486298203468,lig_tnks2_5f,7.519999999999999,7.4143958731889725
