ligand1_num_CDK2,abs_label_CDK2,abs_predict_CDK2,ligand1_num_PTP1B,abs_label_PTP1B,abs_predict_PTP1B,ligand1_num_Bace,abs_label_Bace,abs_predict_Bace,ligand1_num_Tyk2,abs_label_Tyk2,abs_predict_Tyk2,ligand1_num_MCL1,abs_label_MCL1,abs_predict_MCL1,ligand1_num_Thrombin,abs_label_Thrombin,abs_predict_Thrombin,ligand1_num_Jnk1,abs_label_Jnk1,abs_predict_Jnk1,ligand1_num_p38,abs_label_p38,abs_predict_p38,ligand1_num_cmet,abs_label_cmet,abs_predict_cmet,ligand1_num_cdk8,abs_label_cdk8,abs_predict_cdk8,ligand1_num_syk,abs_label_syk,abs_predict_syk,ligand1_num_shp2,abs_label_shp2,abs_predict_shp2,ligand1_num_eg5,abs_label_eg5,abs_predict_eg5,ligand1_num_hif2a,abs_label_hif2a,abs_predict_hif2a,ligand1_num_pfkfb3,abs_label_pfkfb3,abs_predict_pfkfb3,ligand1_num_tnks2,abs_label_tnks2,abs_predict_tnks2
17,5.180348087353155,6.538716276492487,206672qbp,8.403348743973442,7.433475395476991,CAT-13a,6.504868905142315,6.585932492113547,ejm_31,7.019960334282542,6.853759525208996,23.0,6.497510456154598,5.890128273641665,1a,5.504119842812728,6.0012986859837385,17124-1,7.1229786201105885,7.131694964525681,p38a_2aa,6.82128221161417,7.777675482642659,lig_cmet_CHEMBL3402741_400,6.4,6.586176037311555,lig_cdk8_13,7.92,7.3213453639745705,lig_syk_CHEMBL3259820,7.75,7.69263761561364,lig_shp2_10,5.24,5.970661202311516,lig_eg5_CHEMBL1077204,8.1,8.458918277792632,lig_hif2a_1,8.3,7.488605840325356,lig_pfkfb3_19,5.53,6.187332958817482,lig_tnks2_1a,6.27,6.323563417732716
1h1q,6.0192112719529565,6.010530643667588,206692qbr,6.335624578424811,6.154648228919679,CAT-13b,6.710905476798405,6.878481616659895,ejm_42,7.196563109987766,7.012345189838932,26.0,6.063361965879262,5.791369254080553,1b,6.225247843609049,6.163519612939081,18624-1,6.2473231905722,6.075644129162114,p38a_2bb,6.666754782872101,8.07978131045849,lig_cmet_CHEMBL3402742_23,7.639999999999999,7.25065936677903,lig_cdk8_14,6.08,6.330700006008149,lig_syk_CHEMBL3264994,7.19,7.381460618376733,lig_shp2_11,4.66,6.3472552722841495,lig_eg5_CHEMBL1077227,8.3,6.8637268052101135,lig_hif2a_124,7.42,7.097272453837097,lig_pfkfb3_20,6.24,6.103852639436722,lig_tnks2_1b,7.279999999999999,6.634877689123154
1h1r,5.643930373579361,6.492415695394884,206702qbs,6.681471680847535,6.440935119240159,CAT-13c,6.8580744565527585,6.793584557457701,ejm_43,6.078078863854697,7.011495955921971,27.0,4.5033707804831415,4.8154876076932736,1c,6.298832333486224,6.167390979134462,18625-1,5.967702129038933,6.5521295258974845,p38a_2c,7.6969376411525605,7.443816776585587,lig_cmet_CHEMBL3402743_42,7.38,7.17382808559388,lig_cdk8_15,5.6,7.075277007043361,lig_syk_CHEMBL3264995,9.08,8.080038046240807,lig_shp2_3,4.0,5.885859237104654,lig_eg5_CHEMBL1078691,7.470000000000001,7.608419314086437,lig_hif2a_15,8.1,7.997259132385254,lig_pfkfb3_23,5.8,6.128790719151497,lig_tnks2_3a,8.06,7.164384806096554
1h1s,8.278255111182245,7.113771483804593,233302qbq,7.45410882455788,6.607219272291833,CAT-13d,7.704296090140277,7.01859879831119,ejm_44,5.459969148886422,6.947561042993591,28.0,4.871293229869019,5.130751266455252,1d,6.07072041486698,5.988507220760903,18626-1,6.5269442521054675,6.54503748810051,p38a_2e,7.873540416857779,7.436432203103609,lig_cmet_CHEMBL3402744_300,6.519999999999999,6.58394621860981,lig_cdk8_16,6.769999999999999,6.817357503294945,lig_syk_CHEMBL3264996,7.82,7.677382811307908,lig_shp2_4,4.27,6.289150253176689,lig_eg5_CHEMBL1078774,7.769999999999999,8.107340614557266,lig_hif2a_155,7.7,7.737917117595673,lig_pfkfb3_24,6.5,6.701872513346373,lig_tnks2_3b,8.44,5.9083578511476516
1oi9,7.167129314036896,6.363644804190407,23466,5.776382455358277,5.595871409213716,CAT-13e,7.329015191766681,7.06585927589132,ejm_45,7.034677232257979,7.325896697915421,29.0,5.106763597475981,5.603685572123129,3a,6.122229557781003,5.893983673543653,18627-1,6.239964741584484,6.548895443437081,p38a_2ee,9.021458458941716,7.890557862085112,lig_cmet_CHEMBL3402745_200,6.7,6.7219494442343715,lig_cdk8_17,6.55,7.343251015476882,lig_syk_CHEMBL3264997,8.05,8.88547998905182,lig_shp2_6,5.89,6.394881342403591,lig_eg5_CHEMBL1078998,7.6,6.647323618702591,lig_hif2a_156,7.139999999999999,7.382715339779854,lig_pfkfb3_26,6.720000000000001,6.645799607872962,lig_tnks2_5a,7.889999999999999,7.21424519264698
1oiu,6.681471680847535,7.119550557937035,23467,5.401101556984682,5.573119255340272,CAT-13f,6.688830129835253,7.180919092542366,ejm_46,8.32240580510855,7.200701904534624,30.0,5.776382455358277,5.18440279004534,3b,5.783740904345995,6.003000148438832,18628-1,6.401850619314269,6.395390724783224,p38a_2f,6.239964741584484,7.436691973556586,lig_cmet_CHEMBL3402747_3400,5.47,6.8987954967543486,lig_cdk8_18,8.0,7.358978234485723,lig_syk_CHEMBL3264998,8.59,8.232677929997445,lig_shp2_7,5.19,6.335065221466124,lig_eg5_CHEMBL1082248,8.52,7.79150869256258,lig_hif2a_163,8.07,7.6559508515596395,lig_pfkfb3_29,7.07,6.609105060338973,lig_tnks2_5b,7.68,7.515266601681709
1oiy,7.203921558975482,6.892680687214741,23468,5.702797965481103,6.200994237324768,CAT-13g,6.688830129835253,7.245475099070804,ejm_47,7.137695518086024,7.304369286871777,31.0,5.8278915982723,5.627681779241163,5,5.577704332689904,5.728397562594137,18629-1,6.379775272351116,6.4095265459468775,p38a_2ff,8.418065641948878,8.07162155063153,lig_cmet_CHEMBL3402748_5300,5.28,6.948505034379662,lig_cdk8_19,7.82,7.42799099650979,lig_syk_CHEMBL3264999,8.37,7.849257376007737,lig_shp2_Example1,6.590000000000001,6.415806932077743,lig_eg5_CHEMBL1082249,8.22,8.27563682949543,lig_hif2a_164,4.96,7.577191941261292,lig_pfkfb3_30,6.74,6.263299780987203,lig_tnks2_5c,7.3,7.817028540685773
20,6.416567517289705,6.399040861930261,23469,5.680722618517949,6.223591323032589,CAT-13h,7.0861863751720024,6.8133651411373775,ejm_48,6.622604088945796,7.427055588043556,32.0,4.841859433918148,5.151228221630651,6a,6.755056170724711,6.473142548726855,18630-1,6.7256223747738435,6.399694557135385,p38a_2g,7.844106620906909,7.441956759442396,lig_cmet_CHEMBL3402749_500,6.3,6.9226968251988295,lig_cdk8_20,7.8,7.694146420478821,lig_syk_CHEMBL3265000,8.66,8.876574590206147,lig_shp2_Example14,7.17,6.3475589738050475,lig_eg5_CHEMBL1083517,8.4,8.17099237895012,lig_hif2a_165,6.769999999999999,7.569320805191994,lig_pfkfb3_31,6.8,6.306646070718765,lig_tnks2_5d,7.980000000000001,7.635392579376697
21,5.761665557382842,6.224111065770993,23470,5.680722618517949,6.461334107256109,CAT-13i,6.82128221161417,7.0635590916712445,ejm_49,5.702797965481103,6.832682057894097,33.0,5.062612903549675,5.400401308512289,6b,6.541661150080903,6.302026220464131,18631-1,6.924300497442216,6.312264749800247,p38a_2gg,7.844106620906909,8.434350033302612,lig_cmet_CHEMBL3402750_400,6.4,7.025994040712715,lig_cdk8_21,7.110000000000001,7.845467498780228,lig_syk_CHEMBL3265001,8.82,8.50224510073662,lig_shp2_Example2,6.07,6.215610298752784,lig_eg5_CHEMBL1083836,7.959999999999999,7.373532102875411,lig_hif2a_167,7.82,7.950291816711426,lig_pfkfb3_33,6.31,6.674026496052742,lig_tnks2_5e,7.409999999999999,7.810905555389821
22,5.783740904345995,6.292215106393704,23471,5.702797965481103,6.14499049857127,CAT-13j,6.423925966277421,6.47669050304486,ejm_50,6.607887190970361,7.000668240413331,34.0,5.0552544545619575,5.586695002889234,6e,6.556378048056338,6.354914466531,18632-1,6.681471680847535,6.37962522601841,p38a_2h,6.975809640356237,7.570807996590443,lig_cmet_CHEMBL3402751_2100,5.68,6.989089762501419,lig_cdk8_22,7.49,7.872078283175826,lig_syk_CHEMBL3265002,7.779999999999999,7.304136248640717,lig_shp2_Example22,6.769999999999999,6.801216748408973,lig_eg5_CHEMBL1084115,6.92,6.634116349987686,lig_hif2a_206,7.42,7.798175196170807,lig_pfkfb3_34,7.31,6.652598957061767,lig_tnks2_5f,7.519999999999999,7.570857553124428
