ligand1_num_CDK2,abs_label_CDK2,abs_predict_CDK2,ligand1_num_PTP1B,abs_label_PTP1B,abs_predict_PTP1B,ligand1_num_Bace,abs_label_Bace,abs_predict_Bace,ligand1_num_Tyk2,abs_label_Tyk2,abs_predict_Tyk2,ligand1_num_MCL1,abs_label_MCL1,abs_predict_MCL1,ligand1_num_Thrombin,abs_label_Thrombin,abs_predict_Thrombin,ligand1_num_Jnk1,abs_label_Jnk1,abs_predict_Jnk1,ligand1_num_p38,abs_label_p38,abs_predict_p38,ligand1_num_cmet,abs_label_cmet,abs_predict_cmet,ligand1_num_cdk8,abs_label_cdk8,abs_predict_cdk8,ligand1_num_syk,abs_label_syk,abs_predict_syk,ligand1_num_shp2,abs_label_shp2,abs_predict_shp2,ligand1_num_eg5,abs_label_eg5,abs_predict_eg5,ligand1_num_hif2a,abs_label_hif2a,abs_predict_hif2a,ligand1_num_pfkfb3,abs_label_pfkfb3,abs_predict_pfkfb3,ligand1_num_tnks2,abs_label_tnks2,abs_predict_tnks2
17,5.180348087353155,6.400907280053507,206672qbp,8.403348743973442,7.3483189249398055,CAT-13a,6.504868905142315,6.680942345245616,ejm_31,7.019960334282542,6.830455761826859,23.0,6.497510456154598,6.212144967293341,1a,5.504119842812728,6.055586268992147,17124-1,7.1229786201105885,6.973605824654382,p38a_2aa,6.82128221161417,8.253256289859124,lig_cmet_CHEMBL3402741_400,6.4,8.479196893692016,lig_cdk8_13,7.92,9.413822295188904,lig_syk_CHEMBL3259820,7.75,7.435623993873596,lig_shp2_10,5.24,6.154862135887146,lig_eg5_CHEMBL1077204,8.1,7.851966415405274,lig_hif2a_1,8.3,7.237961356163025,lig_pfkfb3_19,5.53,5.721274761199951,lig_tnks2_1a,6.27,6.480680312156677
1h1q,6.0192112719529565,6.20945534905375,206692qbr,6.335624578424811,6.123682441747361,CAT-13b,6.710905476798405,6.643340254410044,ejm_42,7.196563109987766,6.87408779231392,26.0,6.063361965879262,6.143772240852911,1b,6.225247843609049,6.15849664458724,18624-1,6.2473231905722,6.040797878449243,p38a_2bb,6.666754782872101,8.099766795535393,lig_cmet_CHEMBL3402742_23,7.639999999999999,7.394152509689332,lig_cdk8_14,6.08,6.006759931564331,lig_syk_CHEMBL3264994,7.19,7.293016781806946,lig_shp2_11,4.66,6.437199038505554,lig_eg5_CHEMBL1077227,8.3,7.305495964050293,lig_hif2a_124,7.42,6.889559690475464,lig_pfkfb3_20,6.24,6.392033032417297,lig_tnks2_1b,7.279999999999999,6.9068360462188725
1h1r,5.643930373579361,6.406474568452249,206702qbs,6.681471680847535,6.347248735463792,CAT-13c,6.8580744565527585,6.904974604233042,ejm_43,6.078078863854697,7.15678141681038,27.0,4.5033707804831415,5.434434767937262,1c,6.298832333486224,6.1636669898936365,18625-1,5.967702129038933,6.275362516587061,p38a_2c,7.6969376411525605,7.447969310183831,lig_cmet_CHEMBL3402743_42,7.38,7.418354379653931,lig_cdk8_15,5.6,6.950238611221313,lig_syk_CHEMBL3264995,9.08,8.02683602809906,lig_shp2_3,4.0,6.1060680570602415,lig_eg5_CHEMBL1078691,7.470000000000001,7.564520679473877,lig_hif2a_15,8.1,7.33145791721344,lig_pfkfb3_23,5.8,5.98386102104187,lig_tnks2_3a,8.06,6.980751050949097
1h1s,8.278255111182245,6.944262625779518,233302qbq,7.45410882455788,6.85769068244713,CAT-13d,7.704296090140277,7.114303017242686,ejm_44,5.459969148886422,7.222015601075516,28.0,4.871293229869019,5.587790366386969,1d,6.07072041486698,6.110090758890829,18626-1,6.5269442521054675,6.274161888306421,p38a_2e,7.873540416857779,7.49522341956646,lig_cmet_CHEMBL3402744_300,6.519999999999999,6.719980108261109,lig_cdk8_16,6.769999999999999,6.5377404470443725,lig_syk_CHEMBL3264996,7.82,8.122006812095643,lig_shp2_4,4.27,6.515714806556701,lig_eg5_CHEMBL1078774,7.769999999999999,7.765580783843994,lig_hif2a_155,7.7,7.1163002891540525,lig_pfkfb3_24,6.5,6.063002995491027,lig_tnks2_3b,8.44,7.646603478431702
1oi9,7.167129314036896,6.482963158692728,23466,5.776382455358277,5.629475536382371,CAT-13e,7.329015191766681,7.037181902511851,ejm_45,7.034677232257979,7.350775462067948,29.0,5.106763597475981,5.9910067283864805,3a,6.122229557781003,5.93450548896285,18627-1,6.239964741584484,6.2777052175453125,p38a_2ee,9.021458458941716,7.6715993093445976,lig_cmet_CHEMBL3402745_200,6.7,6.787855493545533,lig_cdk8_17,6.55,7.0953843851089475,lig_syk_CHEMBL3264997,8.05,8.896382441520691,lig_shp2_6,5.89,6.366818350791931,lig_eg5_CHEMBL1078998,7.6,7.023389135360718,lig_hif2a_156,7.139999999999999,6.890629188537598,lig_pfkfb3_26,6.720000000000001,6.478283385276794,lig_tnks2_5a,7.889999999999999,7.147323216438293
1oiu,6.681471680847535,6.921272065247902,23467,5.401101556984682,5.630909147298508,CAT-13f,6.688830129835253,7.020074654205577,ejm_46,8.32240580510855,7.296860438264237,30.0,5.776382455358277,5.635380860542853,3b,5.783740904345995,6.046384718508444,18628-1,6.401850619314269,6.237129141037744,p38a_2f,6.239964741584484,7.493515746493645,lig_cmet_CHEMBL3402747_3400,5.47,6.87722765159607,lig_cdk8_18,8.0,7.103865172386169,lig_syk_CHEMBL3264998,8.59,7.845948615074159,lig_shp2_7,5.19,6.3799423398971555,lig_eg5_CHEMBL1082248,8.52,7.5076078042984005,lig_hif2a_163,8.07,7.1280273361206055,lig_pfkfb3_29,7.07,6.569938115119934,lig_tnks2_5b,7.68,7.375805701255798
1oiy,7.203921558975482,6.69026236733378,23468,5.702797965481103,6.109582605397874,CAT-13g,6.688830129835253,7.001019859894053,ejm_47,7.137695518086024,7.39192317096077,31.0,5.8278915982723,6.000317689156134,5,5.577704332689904,5.795553901285848,18629-1,6.379775272351116,6.244756723587793,p38a_2ff,8.418065641948878,7.9700488733247,lig_cmet_CHEMBL3402748_5300,5.28,6.770852434158326,lig_cdk8_19,7.82,6.963162495613098,lig_syk_CHEMBL3264999,8.37,8.006924738883972,lig_shp2_Example1,6.590000000000001,6.426094693183899,lig_eg5_CHEMBL1082249,8.22,7.677379117965698,lig_hif2a_164,4.96,7.25367368888855,lig_pfkfb3_30,6.74,6.301485041618347,lig_tnks2_5c,7.3,7.392360342979432
20,6.416567517289705,6.583646347131143,23469,5.680722618517949,6.197878303563767,CAT-13h,7.0861863751720024,7.00406971035792,ejm_48,6.622604088945796,7.548451643861161,32.0,4.841859433918148,5.592844363426764,6a,6.755056170724711,6.497599961847982,18630-1,6.7256223747738435,6.232145715897363,p38a_2g,7.844106620906909,7.493318359752007,lig_cmet_CHEMBL3402749_500,6.3,6.858980047225953,lig_cdk8_20,7.8,7.788150193214416,lig_syk_CHEMBL3265000,8.66,8.853242983818054,lig_shp2_Example14,7.17,6.299150103569031,lig_eg5_CHEMBL1083517,8.4,7.980382381439209,lig_hif2a_165,6.769999999999999,7.259832326889038,lig_pfkfb3_31,6.8,6.3218323507308956,lig_tnks2_5d,7.980000000000001,7.37191654586792
21,5.761665557382842,6.522518684472452,23470,5.680722618517949,6.286743106877976,CAT-13i,6.82128221161417,7.124688912018077,ejm_49,5.702797965481103,6.914303046143876,33.0,5.062612903549675,5.83186971781214,6b,6.541661150080903,6.259150626749715,18631-1,6.924300497442216,6.32031645888595,p38a_2gg,7.844106620906909,8.176310794253656,lig_cmet_CHEMBL3402750_400,6.4,6.957328664779664,lig_cdk8_21,7.110000000000001,7.390601565361022,lig_syk_CHEMBL3265001,8.82,8.545341601371765,lig_shp2_Example2,6.07,6.225446099281311,lig_eg5_CHEMBL1083836,7.959999999999999,7.53299125289917,lig_hif2a_167,7.82,7.402718011856079,lig_pfkfb3_33,6.31,6.304949358940124,lig_tnks2_5e,7.409999999999999,7.403588069915772
22,5.783740904345995,6.5311561365980015,23471,5.702797965481103,6.06713503841179,CAT-13j,6.423925966277421,6.615669537170665,ejm_50,6.607887190970361,7.021955710328446,34.0,5.0552544545619575,5.945188876366217,6e,6.556378048056338,6.443995502085409,18632-1,6.681471680847535,6.331643272583764,p38a_2h,6.975809640356237,7.642429678340264,lig_cmet_CHEMBL3402751_2100,5.68,6.890646802902222,lig_cdk8_22,7.49,7.466243459701538,lig_syk_CHEMBL3265002,7.779999999999999,8.191258969306947,lig_shp2_Example22,6.769999999999999,6.721856707572937,lig_eg5_CHEMBL1084115,6.92,6.9915949211120605,lig_hif2a_206,7.42,7.210731927871704,lig_pfkfb3_34,7.31,6.57405226612091,lig_tnks2_5f,7.519999999999999,7.373874033927917
