name,pIC50
23466_ref,5.776382455
23467_ref,5.401101557
23468_ref,5.702797965
23469_ref,5.680722619
23470_ref,5.680722619
23471_ref,5.702797965
23472_ref,6.365058374
23473_ref,6.173738701
23474_ref,6.703547028
23475_ref,6.416567517
23476_ref,6.924300497
23477_ref,6.512227354
23479_ref,6.725622375
23480_ref,6.416567517
23482_ref,7.365807437
23483_ref,7.262789151
23484_ref,5.702797965
23485_ref,8.101652335
23486_ref,9.175985888
206672qbp_ref,8.403348744
206692qbr_ref,6.335624578
206702qbs_ref,6.681471681
233302qbq_ref,7.454108825
