name,pIC50
p38a_3flz_ref,6.983168089343956
p38a_2n_ref,8.719762050445297
p38a_2c_ref,7.69693764115256
p38a_3flq_ref,7.306939844803527
p38a_2aa_ref,6.82128221161417
p38a_2o_ref,7.719012988115711
p38a_2v_ref,6.600528741982644
p38a_2t_ref,8.719762050445297
p38a_3fly_ref,8.403348743973442
p38a_3fmk_ref,8.705045152469863
p38a_2g_ref,7.844106620906909
p38a_2p_ref,8.241462866243657
p38a_2i_ref,7.395241232656139
p38a_2l_ref,9.021458458941717
p38a_2j_ref,7.417316579619291
p38a_2ff_ref,8.418065641948878
p38a_2s_ref,8.1752368253542
p38a_2z_ref,7.623353151275383
p38a_2ee_ref,9.021458458941717
p38a_2u_ref,9.021458458941717
p38a_3fln_ref,8.005992498636695
p38a_2e_ref,7.873540416857779
p38a_2f_ref,6.239964741584484
p38a_3flw_ref,7.858823518882343
p38a_2k_ref,7.763163682042017
p38a_2x_ref,7.527693314435055
p38a_2q_ref,9.021458458941717
p38a_2gg_ref,7.844106620906909
p38a_2y_ref,7.196563109987765
p38a_2r_ref,7.939766457747236
p38a_2bb_ref,6.666754782872101
p38a_2m_ref,8.064860090538437
p38a_3fmh_ref,7.969200253698108
p38a_2h_ref,6.975809640356238
