Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),45(    ),1.570
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),40(    ),1.614
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),41(    ),1.569
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),18(    ),2.627
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),9(    ),3.997
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),16(    ),4.012
HPhob,1,,A:132(TYR),1151( CG ),_:900(UNK),3(    ),4.089
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),3(    ),3.745
HPhob,1,,A:132(TYR),1154( CE1),_:900(UNK),3(    ),4.014
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),6(    ),3.961
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),7(    ),3.579
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),6(    ),3.584
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),7(    ),3.451
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),11(    ),3.211
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),12(    ),3.011
HPhob,1,,A:176(TRP),1813( CZ2),_:900(UNK),8(    ),3.969
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),7(    ),4.013
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),8(    ),3.702
