Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),46(    ),1.521
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),30(    ),1.683
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),29(    ),1.559
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),5(    ),2.699
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),11(    ),4.009
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),12(    ),4.035
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),18(    ),3.865
HPhob,1,,A:132(TYR),1151( CG ),_:900(UNK),22(    ),4.057
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),22(    ),3.760
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),8(    ),3.888
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),9(    ),3.420
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),8(    ),3.605
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),9(    ),3.374
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),13(    ),3.226
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),14(    ),2.933
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),15(    ),4.076
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),10(    ),3.819
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),23(    ),3.892
