Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),46(    ),1.619
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),30(    ),1.648
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),29(    ),1.428
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),5(    ),2.648
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),15(    ),3.997
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),22(    ),3.956
HPhob,1,,A:130(VAL),1121( CG1),_:900(UNK),10(    ),3.961
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),9(    ),3.826
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),10(    ),4.075
HPhob,1,,A:132(TYR),1154( CE1),_:900(UNK),9(    ),3.997
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),12(    ),3.991
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),13(    ),3.528
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),9(    ),4.076
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),12(    ),3.691
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),13(    ),3.483
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),17(    ),3.133
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),18(    ),2.922
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),19(    ),4.076
HPhob,1,,A:176(TRP),1813( CZ2),_:900(UNK),14(    ),4.075
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),14(    ),3.788
