Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),31(    ),1.529
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),32(    ),1.733
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),45(    ),1.555
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),5(    ),2.744
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),11(    ),4.085
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),18(    ),3.926
HPhob,1,,A:130(VAL),1121( CG1),_:900(UNK),23(    ),3.993
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),8(    ),4.029
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),9(    ),3.585
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),8(    ),3.928
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),9(    ),3.720
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),13(    ),3.165
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),14(    ),2.997
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),10(    ),3.948
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),21(    ),3.830
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),22(    ),3.881
