Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),31(    ),1.513
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),32(    ),1.702
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),44(    ),1.586
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),5(    ),2.713
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),11(    ),4.003
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),12(    ),4.072
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),18(    ),3.899
HPhob,1,,A:130(VAL),1121( CG1),_:900(UNK),23(    ),3.971
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),8(    ),3.941
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),9(    ),3.555
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),8(    ),3.784
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),9(    ),3.637
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),13(    ),3.110
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),14(    ),2.963
HPhob,1,,A:176(TRP),1813( CZ2),_:900(UNK),10(    ),4.080
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),10(    ),3.814
