Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),43(    ),1.494
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),30(    ),1.700
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),29(    ),1.593
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),5(    ),2.705
HPhob,1,,A:132(TYR),1151( CG ),_:900(UNK),22(    ),4.063
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),22(    ),3.783
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),8(    ),3.963
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),9(    ),3.605
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),8(    ),3.754
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),9(    ),3.644
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),17(    ),3.326
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),18(    ),3.018
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),19(    ),3.441
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),10(    ),3.962
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),23(    ),3.823
