Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),46(    ),1.507
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),39(    ),1.628
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),40(    ),1.637
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),17(    ),2.642
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),7(    ),3.921
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),8(    ),4.091
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),25(    ),3.692
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),15(    ),3.867
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),10(    ),3.260
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),11(    ),3.803
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),10(    ),3.319
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),11(    ),3.597
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),9(    ),3.979
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),16(    ),3.791
