Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),43(    ),1.547
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),30(    ),1.595
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),29(    ),1.577
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),5(    ),2.610
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),11(    ),4.039
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),12(    ),4.087
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),19(    ),3.956
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),23(    ),3.986
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),8(    ),3.873
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),9(    ),3.398
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),8(    ),3.598
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),9(    ),3.382
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),10(    ),3.826
