Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),47(    ),1.511
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),40(    ),1.645
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),41(    ),1.554
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),18(    ),2.662
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),8(    ),3.994
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),9(    ),4.073
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),26(    ),3.833
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),16(    ),3.920
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),11(    ),3.318
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),12(    ),3.889
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),11(    ),3.346
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),12(    ),3.666
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),10(    ),3.969
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),17(    ),3.841
HPhob,1,,A:396(ALA),5239( CB ),_:900(UNK),1(    ),2.951
