Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),53(    ),1.511
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),46(    ),1.695
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),47(    ),1.548
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),21(    ),2.708
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),29(    ),3.812
HPhob,1,,A:130(VAL),1121( CG1),_:900(UNK),17(    ),3.954
HPhob,1,,A:130(VAL),1121( CG1),_:900(UNK),18(    ),3.657
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),16(    ),4.079
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),17(    ),3.978
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),11(    ),3.339
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),12(    ),3.924
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),11(    ),3.345
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),12(    ),3.678
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),5(    ),4.045
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),6(    ),2.987
HPhob,1,,A:171(ILE),1744( CD1),_:900(UNK),7(    ),3.320
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),10(    ),4.002
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),19(    ),3.720
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),20(    ),3.737
HPhob,1,,A:396(ALA),5239( CB ),_:900(UNK),1(    ),3.287
