Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),48(    ),1.524
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),41(    ),1.690
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),42(    ),1.527
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),19(    ),2.705
PiEdge,1,,A:132(TYR),1151( CG ),_:900(UNK),13(    ),5.479
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),6(    ),4.040
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),7(    ),4.086
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),27(    ),3.889
HPhob,1,,A:130(VAL),1121( CG1),_:900(UNK),15(    ),4.031
HPhob,1,,A:130(VAL),1121( CG1),_:900(UNK),16(    ),3.695
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),14(    ),4.099
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),15(    ),3.964
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),9(    ),3.366
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),10(    ),3.944
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),9(    ),3.350
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),10(    ),3.686
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),8(    ),3.925
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),17(    ),3.738
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),18(    ),3.749
