Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:93(ASP),534( OD1),_:900(UNK),31(    ),1.516
HAccep cc,1,,A:93(ASP),535( OD2),_:900(UNK),32(    ),1.696
HAccep nn,1,,A:289(ASP),3584( OD1),_:900(UNK),45(    ),1.543
Salt,1,,A:93(ASP),535( OD2),_:900(UNK),5(    ),2.710
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),18(    ),3.989
HPhob,1,,A:91(LEU),500( CD2),_:900(UNK),24(    ),3.787
HPhob,1,,A:130(VAL),1121( CG1),_:900(UNK),10(    ),3.655
HPhob,1,,A:130(VAL),1121( CG1),_:900(UNK),11(    ),3.957
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),11(    ),4.000
HPhob,1,,A:132(TYR),1152( CD1),_:900(UNK),12(    ),4.096
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),14(    ),3.931
HPhob,1,,A:169(PHE),1703( CD1),_:900(UNK),15(    ),3.322
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),14(    ),3.691
HPhob,1,,A:169(PHE),1705( CE1),_:900(UNK),15(    ),3.328
HPhob,1,,A:176(TRP),1815( CH2),_:900(UNK),16(    ),3.991
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),8(    ),3.743
HPhob,1,,A:179(ILE),1855( CD1),_:900(UNK),9(    ),3.732
