Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:109(GLU),1647( O  ),_:900(UNK),31(    ),2.133
HDonor nn,1,,A:111(MET),1686( H  ),_:900(UNK),15(    ),1.723
HPhob,1,,A:32(ILE),403( CB ),_:900(UNK),22(    ),4.062
HPhob,1,,A:32(ILE),405( CG2),_:900(UNK),18(    ),4.025
HPhob,1,,A:40(VAL),502( CG2),_:900(UNK),10(    ),4.041
HPhob,1,,A:53(ALA),697( CB ),_:900(UNK),7(    ),3.747
HPhob,1,,A:110(LEU),1666( CD2),_:900(UNK),16(    ),3.942
HPhob,1,,A:111(MET),1682( CB ),_:900(UNK),16(    ),3.980
HPhob,1,,A:168(LEU),2607( CG ),_:900(UNK),10(    ),3.984
HPhob,1,,A:168(LEU),2608( CD1),_:900(UNK),10(    ),3.615
HPhob,1,,A:168(LEU),2609( CD2),_:900(UNK),1(    ),3.382
HPhob,1,,A:168(LEU),2609( CD2),_:900(UNK),10(    ),3.586
