Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HDonor cn,1,,A:263(ARG),1481( HE ),_:900(UNK),3(    ),1.677
HDonor cc,1,,A:263(ARG),1485(HH22),_:900(UNK),3(    ),2.994
PiEdge,1,,A:270(PHE),1589( CG ),_:900(UNK),5(    ),5.450
PiEdge,1,,A:270(PHE),1589( CG ),_:900(UNK),16(    ),4.913
PiEdge,1,,A:270(PHE),1589( CG ),_:900(UNK),35(    ),5.302
HPhob,1,,A:228(PHE),904( CD1),_:900(UNK),7(    ),3.369
HPhob,1,,A:228(PHE),904( CD1),_:900(UNK),8(    ),3.457
HPhob,1,,A:228(PHE),906( CE1),_:900(UNK),7(    ),3.531
HPhob,1,,A:228(PHE),906( CE1),_:900(UNK),8(    ),3.384
HPhob,1,,A:228(PHE),906( CE1),_:900(UNK),9(    ),3.974
HPhob,1,,A:250(MET),1272( CB ),_:900(UNK),17(    ),3.817
HPhob,1,,A:250(MET),1272( CB ),_:900(UNK),38(    ),3.772
HPhob,1,,A:250(MET),1273( CG ),_:900(UNK),17(    ),3.448
HPhob,1,,A:250(MET),1273( CG ),_:900(UNK),18(    ),3.273
HPhob,1,,A:250(MET),1273( CG ),_:900(UNK),19(    ),3.216
HPhob,1,,A:250(MET),1273( CG ),_:900(UNK),38(    ),3.570
HPhob,1,,A:250(MET),1274( SD ),_:900(UNK),17(    ),4.199
HPhob,1,,A:250(MET),1274( SD ),_:900(UNK),18(    ),3.776
HPhob,1,,A:250(MET),1274( SD ),_:900(UNK),19(    ),4.055
HPhob,1,,A:250(MET),1275( CE ),_:900(UNK),17(    ),3.694
HPhob,1,,A:250(MET),1275( CE ),_:900(UNK),18(    ),3.678
HPhob,1,,A:253(VAL),1325( CB ),_:900(UNK),13(    ),4.001
HPhob,1,,A:253(VAL),1325( CB ),_:900(UNK),39(    ),3.382
HPhob,1,,A:253(VAL),1326( CG1),_:900(UNK),10(    ),3.559
HPhob,1,,A:253(VAL),1326( CG1),_:900(UNK),11(    ),3.378
HPhob,1,,A:253(VAL),1326( CG1),_:900(UNK),12(    ),3.944
HPhob,1,,A:253(VAL),1326( CG1),_:900(UNK),13(    ),3.313
HPhob,1,,A:253(VAL),1326( CG1),_:900(UNK),39(    ),3.660
HPhob,1,,A:253(VAL),1327( CG2),_:900(UNK),39(    ),3.556
HPhob,1,,A:254(PHE),1341( CB ),_:900(UNK),13(    ),3.081
HPhob,1,,A:254(PHE),1342( CG ),_:900(UNK),13(    ),3.796
HPhob,1,,A:254(PHE),1344( CD2),_:900(UNK),13(    ),3.679
HPhob,1,,A:266(THR),1527( CG2),_:900(UNK),10(    ),3.738
HPhob,1,,A:266(THR),1527( CG2),_:900(UNK),11(    ),3.757
HPhob,1,,A:267(LEU),1540( CG ),_:900(UNK),19(    ),4.021
HPhob,1,,A:267(LEU),1541( CD1),_:900(UNK),18(    ),3.944
HPhob,1,,A:267(LEU),1541( CD1),_:900(UNK),19(    ),2.864
HPhob,1,,A:270(PHE),1588( CB ),_:900(UNK),8(    ),3.674
HPhob,1,,A:270(PHE),1588( CB ),_:900(UNK),9(    ),3.908
HPhob,1,,A:270(PHE),1589( CG ),_:900(UNK),8(    ),3.542
HPhob,1,,A:270(PHE),1590( CD1),_:900(UNK),8(    ),4.051
HPhob,1,,A:270(PHE),1591( CD2),_:900(UNK),8(    ),3.829
HPhob,1,,A:270(PHE),1591( CD2),_:900(UNK),17(    ),3.527
HPhob,1,,A:270(PHE),1591( CD2),_:900(UNK),18(    ),3.607
HPhob,1,,A:270(PHE),1591( CD2),_:900(UNK),19(    ),3.926
HPhob,1,,A:270(PHE),1591( CD2),_:900(UNK),38(    ),4.102
HPhob,1,,A:270(PHE),1593( CE2),_:900(UNK),17(    ),3.633
