Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HDonor cc,1,,A:120(LYS),1954( HZ1),_:900(UNK),8(    ),1.790
HDonor nn,1,,A:221(ARG),3565( H  ),_:900(UNK),19(    ),2.802
HAccep nn,1,,A:262(GLN),4245( OE1),_:900(UNK),38(    ),2.379
HDonor nn,1,,A:266(GLN),4306(HE22),_:900(UNK),19(    ),2.581
Salt,1,,A:120(LYS),1943( NZ ),_:900(UNK),8(    ),2.607
Salt,1,,A:221(ARG),3564( NH2),_:900(UNK),20(    ),2.331
HPhob,1,,A:46(TYR),735( CG ),_:900(UNK),14(    ),3.985
HPhob,1,,A:46(TYR),736( CD1),_:900(UNK),14(    ),3.926
HPhob,1,,A:46(TYR),738( CE1),_:900(UNK),1(    ),3.722
HPhob,1,,A:46(TYR),739( CE2),_:900(UNK),1(    ),4.195
HPhob,1,,A:48(ASP),779( CB ),_:900(UNK),12(    ),4.053
HPhob,1,,A:48(ASP),779( CB ),_:900(UNK),31(    ),3.762
HPhob,1,,A:49(VAL),793( CG2),_:900(UNK),12(    ),3.734
HPhob,1,,A:49(VAL),793( CG2),_:900(UNK),13(    ),3.505
HPhob,1,,A:49(VAL),793( CG2),_:900(UNK),14(    ),3.725
HPhob,1,,A:182(PHE),2999( CE1),_:900(UNK),4(    ),4.065
HPhob,1,,A:182(PHE),3000( CE2),_:900(UNK),2(    ),3.768
HPhob,1,,A:182(PHE),3001( CZ ),_:900(UNK),1(    ),3.624
HPhob,1,,A:182(PHE),3001( CZ ),_:900(UNK),2(    ),3.347
HPhob,1,,A:182(PHE),3001( CZ ),_:900(UNK),4(    ),3.986
HPhob,1,,A:182(PHE),3001( CZ ),_:900(UNK),5(    ),4.007
HPhob,1,,A:217(ALA),3515( CB ),_:900(UNK),4(    ),3.448
HPhob,1,,A:217(ALA),3515( CB ),_:900(UNK),5(    ),3.842
HPhob,1,,A:217(ALA),3515( CB ),_:900(UNK),15(    ),3.627
HPhob,1,,A:219(ILE),3533( CG1),_:900(UNK),15(    ),3.132
HPhob,1,,A:219(ILE),3535( CD1),_:900(UNK),15(    ),3.442
HPhob,1,,A:219(ILE),3535( CD1),_:900(UNK),27(    ),4.039
HPhob,1,,A:258(MET),4180( CB ),_:900(UNK),30(    ),3.573
HPhob,1,,A:258(MET),4181( CG ),_:900(UNK),30(    ),3.292
HPhob,1,,A:258(MET),4182( SD ),_:900(UNK),30(    ),2.999
HPhob,1,,A:262(GLN),4242( CB ),_:900(UNK),15(    ),4.022
HPhob,1,,A:262(GLN),4243( CG ),_:900(UNK),15(    ),3.766
