Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,H:214(SER),3498( O  ),_:900(UNK),31(    ),2.095
HAccep cn,1,,H:216(GLY),3533( O  ),_:900(UNK),35(    ),2.132
HDonor nn,1,,H:216(GLY),3534( H  ),_:900(UNK),4(    ),2.083
PiEdge,1,,H:215(TRP),3511( CG ),_:900(UNK),15(    ),5.131
HPhob,1,,H:60A(TYR),720( CE1),_:900(UNK),10(    ),3.833
HPhob,1,,H:60A(TYR),721( CE2),_:900(UNK),10(    ),3.766
HPhob,1,,H:60D(TRP),773( CZ3),_:900(UNK),7(    ),3.952
HPhob,1,,H:60D(TRP),774( CH2),_:900(UNK),7(    ),3.657
HPhob,1,,H:60D(TRP),774( CH2),_:900(UNK),10(    ),3.774
HPhob,1,,H:99(LEU),1589( CD1),_:900(UNK),19(    ),3.933
HPhob,1,,H:99(LEU),1589( CD1),_:900(UNK),21(    ),3.924
HPhob,1,,H:99(LEU),1590( CD2),_:900(UNK),7(    ),3.920
HPhob,1,,H:99(LEU),1590( CD2),_:900(UNK),10(    ),4.041
HPhob,1,,H:174(ILE),2794( CD1),_:900(UNK),15(    ),3.989
HPhob,1,,H:174(ILE),2794( CD1),_:900(UNK),17(    ),3.948
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),22(    ),4.000
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),24(    ),3.721
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),49(    ),3.474
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),24(    ),3.694
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),26(    ),3.299
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),49(    ),3.525
HPhob,1,,H:215(TRP),3510( CB ),_:900(UNK),17(    ),3.634
HPhob,1,,H:215(TRP),3511( CG ),_:900(UNK),17(    ),3.513
HPhob,1,,H:215(TRP),3511( CG ),_:900(UNK),19(    ),4.013
HPhob,1,,H:215(TRP),3513( CD2),_:900(UNK),17(    ),3.630
HPhob,1,,H:215(TRP),3516( CE3),_:900(UNK),17(    ),3.903
