Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,H:214(SER),3498( O  ),_:900(UNK),31(    ),2.099
HAccep cn,1,,H:216(GLY),3533( O  ),_:900(UNK),35(    ),2.136
HDonor nn,1,,H:216(GLY),3534( H  ),_:900(UNK),4(    ),2.094
PiEdge,1,,H:215(TRP),3513( CD2),_:900(UNK),15(    ),5.498
PiEdge,1,,H:215(TRP),3511( CG ),_:900(UNK),15(    ),5.130
HPhob,1,,H:60A(TYR),720( CE1),_:900(UNK),10(    ),3.815
HPhob,1,,H:60A(TYR),721( CE2),_:900(UNK),10(    ),3.751
HPhob,1,,H:60D(TRP),773( CZ3),_:900(UNK),7(    ),3.949
HPhob,1,,H:60D(TRP),774( CH2),_:900(UNK),7(    ),3.653
HPhob,1,,H:60D(TRP),774( CH2),_:900(UNK),10(    ),3.784
HPhob,1,,H:99(LEU),1589( CD1),_:900(UNK),21(    ),3.930
HPhob,1,,H:99(LEU),1589( CD1),_:900(UNK),23(    ),3.934
HPhob,1,,H:99(LEU),1590( CD2),_:900(UNK),7(    ),3.918
HPhob,1,,H:99(LEU),1590( CD2),_:900(UNK),10(    ),4.042
HPhob,1,,H:174(ILE),2794( CD1),_:900(UNK),15(    ),3.986
HPhob,1,,H:174(ILE),2794( CD1),_:900(UNK),25(    ),3.949
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),22(    ),4.028
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),24(    ),3.735
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),49(    ),3.493
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),24(    ),3.711
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),26(    ),3.320
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),49(    ),3.566
HPhob,1,,H:215(TRP),3510( CB ),_:900(UNK),25(    ),3.636
HPhob,1,,H:215(TRP),3511( CG ),_:900(UNK),23(    ),4.013
HPhob,1,,H:215(TRP),3511( CG ),_:900(UNK),25(    ),3.514
HPhob,1,,H:215(TRP),3513( CD2),_:900(UNK),25(    ),3.632
HPhob,1,,H:215(TRP),3516( CE3),_:900(UNK),25(    ),3.905
HPhob,1,,H:228(TYR),3703( CE2),_:900(UNK),49(    ),4.289
