Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,H:214(SER),3498( O  ),_:900(UNK),31(    ),2.096
HAccep cn,1,,H:216(GLY),3533( O  ),_:900(UNK),35(    ),2.117
HDonor nn,1,,H:216(GLY),3534( H  ),_:900(UNK),4(    ),2.105
PiEdge,1,,H:215(TRP),3511( CG ),_:900(UNK),15(    ),5.136
HPhob,1,,H:60A(TYR),720( CE1),_:900(UNK),10(    ),3.783
HPhob,1,,H:60A(TYR),721( CE2),_:900(UNK),10(    ),3.723
HPhob,1,,H:60D(TRP),773( CZ3),_:900(UNK),7(    ),3.939
HPhob,1,,H:60D(TRP),774( CH2),_:900(UNK),7(    ),3.659
HPhob,1,,H:60D(TRP),774( CH2),_:900(UNK),10(    ),3.790
HPhob,1,,H:99(LEU),1589( CD1),_:900(UNK),19(    ),3.949
HPhob,1,,H:99(LEU),1589( CD1),_:900(UNK),21(    ),3.951
HPhob,1,,H:99(LEU),1590( CD2),_:900(UNK),7(    ),3.904
HPhob,1,,H:99(LEU),1590( CD2),_:900(UNK),10(    ),4.042
HPhob,1,,H:174(ILE),2794( CD1),_:900(UNK),15(    ),4.008
HPhob,1,,H:174(ILE),2794( CD1),_:900(UNK),17(    ),3.952
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),20(    ),4.100
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),52(    ),3.583
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),55(    ),3.522
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),18(    ),3.843
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),55(    ),3.685
HPhob,1,,H:215(TRP),3510( CB ),_:900(UNK),17(    ),3.630
HPhob,1,,H:215(TRP),3511( CG ),_:900(UNK),17(    ),3.513
HPhob,1,,H:215(TRP),3511( CG ),_:900(UNK),19(    ),4.020
HPhob,1,,H:215(TRP),3513( CD2),_:900(UNK),17(    ),3.632
HPhob,1,,H:215(TRP),3516( CE3),_:900(UNK),17(    ),3.902
HPhob,1,,H:220(CYS),3564( SG ),_:900(UNK),24(    ),3.920
