Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,H:214(SER),3498( O  ),_:900(UNK),31(    ),2.128
HAccep cn,1,,H:216(GLY),3533( O  ),_:900(UNK),35(    ),2.124
HDonor nn,1,,H:216(GLY),3534( H  ),_:900(UNK),4(    ),2.073
PiEdge,1,,H:215(TRP),3513( CD2),_:900(UNK),15(    ),5.491
PiEdge,1,,H:215(TRP),3511( CG ),_:900(UNK),15(    ),5.123
HPhob,1,,H:60A(TYR),720( CE1),_:900(UNK),10(    ),3.834
HPhob,1,,H:60A(TYR),721( CE2),_:900(UNK),10(    ),3.779
HPhob,1,,H:60D(TRP),773( CZ3),_:900(UNK),7(    ),3.970
HPhob,1,,H:60D(TRP),774( CH2),_:900(UNK),7(    ),3.683
HPhob,1,,H:60D(TRP),774( CH2),_:900(UNK),10(    ),3.787
HPhob,1,,H:99(LEU),1589( CD1),_:900(UNK),21(    ),3.936
HPhob,1,,H:99(LEU),1589( CD1),_:900(UNK),23(    ),3.960
HPhob,1,,H:99(LEU),1590( CD2),_:900(UNK),7(    ),3.897
HPhob,1,,H:99(LEU),1590( CD2),_:900(UNK),10(    ),4.017
HPhob,1,,H:174(ILE),2794( CD1),_:900(UNK),15(    ),4.004
HPhob,1,,H:174(ILE),2794( CD1),_:900(UNK),25(    ),3.936
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),22(    ),3.931
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),24(    ),3.713
HPhob,1,,H:190(ALA),3113( CB ),_:900(UNK),49(    ),3.485
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),24(    ),3.679
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),26(    ),3.325
HPhob,1,,H:213(VAL),3484( CG1),_:900(UNK),49(    ),3.464
HPhob,1,,H:215(TRP),3510( CB ),_:900(UNK),25(    ),3.628
HPhob,1,,H:215(TRP),3511( CG ),_:900(UNK),23(    ),4.000
HPhob,1,,H:215(TRP),3511( CG ),_:900(UNK),25(    ),3.506
HPhob,1,,H:215(TRP),3513( CD2),_:900(UNK),25(    ),3.619
HPhob,1,,H:215(TRP),3516( CE3),_:900(UNK),25(    ),3.886
