Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:109(MET),1741( O  ),_:900(UNK),45(    ),2.164
HDonor nn,1,,A:109(MET),1746( H  ),_:900(UNK),23(    ),2.326
HPhob,1,,A:51(ALA),748( CB ),_:900(UNK),11(    ),3.865
HPhob,1,,A:51(ALA),748( CB ),_:900(UNK),12(    ),3.895
HPhob,1,,A:53(LYS),774( CB ),_:900(UNK),8(    ),3.738
HPhob,1,,A:75(LEU),1183( CD1),_:900(UNK),14(    ),3.540
HPhob,1,,A:75(LEU),1184( CD2),_:900(UNK),14(    ),4.028
HPhob,1,,A:84(ILE),1343( CD1),_:900(UNK),12(    ),4.055
HPhob,1,,A:84(ILE),1343( CD1),_:900(UNK),14(    ),3.790
HPhob,1,,A:84(ILE),1343( CD1),_:900(UNK),15(    ),3.469
HPhob,1,,A:104(LEU),1657( CB ),_:900(UNK),13(    ),3.933
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),8(    ),3.156
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),12(    ),3.926
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),13(    ),2.946
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),14(    ),3.423
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),15(    ),3.730
