Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:109(MET),1741( O  ),_:900(UNK),44(    ),2.164
HDonor nn,1,,A:109(MET),1746( H  ),_:900(UNK),22(    ),2.326
HPhob,1,,A:51(ALA),748( CB ),_:900(UNK),11(    ),3.865
HPhob,1,,A:51(ALA),748( CB ),_:900(UNK),12(    ),3.895
HPhob,1,,A:53(LYS),774( CB ),_:900(UNK),5(    ),4.057
HPhob,1,,A:75(LEU),1183( CD1),_:900(UNK),13(    ),3.365
HPhob,1,,A:75(LEU),1184( CD2),_:900(UNK),13(    ),3.929
HPhob,1,,A:84(ILE),1343( CD1),_:900(UNK),12(    ),4.055
HPhob,1,,A:84(ILE),1343( CD1),_:900(UNK),13(    ),3.938
HPhob,1,,A:84(ILE),1343( CD1),_:900(UNK),14(    ),3.552
HPhob,1,,A:104(LEU),1657( CB ),_:900(UNK),5(    ),4.070
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),5(    ),2.889
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),12(    ),3.926
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),13(    ),3.512
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),14(    ),3.738
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),18(    ),3.563
