Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:109(MET),1741( O  ),_:900(UNK),44(    ),2.174
HDonor nn,1,,A:109(MET),1746( H  ),_:900(UNK),18(    ),2.363
HPhob,1,,A:51(ALA),748( CB ),_:900(UNK),15(    ),3.796
HPhob,1,,A:51(ALA),748( CB ),_:900(UNK),16(    ),3.802
HPhob,1,,A:53(LYS),774( CB ),_:900(UNK),1(    ),3.947
HPhob,1,,A:75(LEU),1183( CD1),_:900(UNK),10(    ),3.571
HPhob,1,,A:84(ILE),1343( CD1),_:900(UNK),10(    ),3.957
HPhob,1,,A:84(ILE),1343( CD1),_:900(UNK),11(    ),3.753
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),1(    ),2.876
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),10(    ),3.563
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),11(    ),3.894
HPhob,1,,A:106(THR),1694( CG2),_:900(UNK),15(    ),3.974
