Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HDonor nc,1,,A:56(LYS),884( HZ3),_:900(UNK),13(    ),2.802
HAccep nn,1,,A:102(ASP),1608( O  ),_:900(UNK),32(    ),2.150
HDonor nn,1,,A:104(ALA),1643( HN ),_:900(UNK),8(    ),2.096
HPhob,1,,A:31(VAL),493( CG2),_:900(UNK),15(    ),3.961
HPhob,1,,A:36(TYR),560( CG ),_:900(UNK),28(    ),4.068
HPhob,1,,A:36(TYR),562( CE1),_:900(UNK),28(    ),3.913
HPhob,1,,A:36(TYR),565( CD2),_:900(UNK),28(    ),3.556
HPhob,1,,A:36(TYR),566( CE2),_:900(UNK),28(    ),3.168
HPhob,1,,A:39(VAL),589( CG1),_:900(UNK),2(    ),3.770
HPhob,1,,A:39(VAL),589( CG1),_:900(UNK),15(    ),4.073
HPhob,1,,A:54(ALA),846( CB ),_:900(UNK),6(    ),3.862
HPhob,1,,A:83(ILE),1289( CG1),_:900(UNK),3(    ),3.803
HPhob,1,,A:101(PHE),1589( CB ),_:900(UNK),3(    ),3.810
HPhob,1,,A:101(PHE),1590( CG ),_:900(UNK),3(    ),3.712
HPhob,1,,A:101(PHE),1594( CD2),_:900(UNK),3(    ),3.803
HPhob,1,,A:101(PHE),1594( CD2),_:900(UNK),4(    ),4.067
HPhob,1,,A:103(TYR),1624( CE1),_:900(UNK),10(    ),4.099
HPhob,1,,A:162(LEU),2537( CD1),_:900(UNK),3(    ),4.095
HPhob,1,,A:162(LEU),2537( CD1),_:900(UNK),6(    ),3.686
HPhob,1,,A:162(LEU),2537( CD1),_:900(UNK),19(    ),3.906
HPhob,1,,A:162(LEU),2538( CD2),_:900(UNK),18(    ),3.253
HPhob,1,,A:162(LEU),2538( CD2),_:900(UNK),19(    ),3.529
HPhob,1,,A:177(ASP),2767( CB ),_:900(UNK),27(    ),3.110
