Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HDonor nn,1,,A:99(MET),1437( HN ),_:900(UNK),3(    ),2.378
PiFace,1,,A:169(TYR),2514( CG ),_:900(UNK),13(    ),3.456
HPhob,1,,A:23(ILE),319( CB ),_:900(UNK),6(    ),4.106
HPhob,1,,A:23(ILE),322( CD ),_:900(UNK),6(    ),4.074
HPhob,1,,A:47(ALA),635( CB ),_:900(UNK),7(    ),3.573
HPhob,1,,A:47(ALA),635( CB ),_:900(UNK),8(    ),3.174
HPhob,1,,A:47(ALA),635( CB ),_:900(UNK),9(    ),3.712
HPhob,1,,A:79(LEU),1125( CD2),_:900(UNK),9(    ),3.980
HPhob,1,,A:79(LEU),1125( CD2),_:900(UNK),10(    ),3.693
HPhob,1,,A:96(LEU),1379( CB ),_:900(UNK),9(    ),3.890
HPhob,1,,A:96(LEU),1381( CD1),_:900(UNK),9(    ),4.031
HPhob,1,,A:96(LEU),1381( CD1),_:900(UNK),10(    ),3.471
HPhob,1,,A:98(TYR),1413( CG ),_:900(UNK),1(    ),3.928
HPhob,1,,A:98(TYR),1414( CD1),_:900(UNK),1(    ),3.718
HPhob,1,,A:98(TYR),1415( CE1),_:900(UNK),1(    ),3.308
HPhob,1,,A:98(TYR),1418( CD2),_:900(UNK),1(    ),3.758
HPhob,1,,A:98(TYR),1419( CE2),_:900(UNK),1(    ),3.348
HPhob,1,,A:99(MET),1433( CB ),_:900(UNK),8(    ),3.860
HPhob,1,,A:99(MET),1434( CG ),_:900(UNK),8(    ),3.342
HPhob,1,,A:99(MET),1434( CG ),_:900(UNK),9(    ),3.701
HPhob,1,,A:103(ASP),1481( CB ),_:900(UNK),27(    ),3.961
HPhob,1,,A:150(MET),2220( CG ),_:900(UNK),17(    ),3.967
HPhob,1,,A:150(MET),2221( SD ),_:900(UNK),16(    ),3.524
HPhob,1,,A:150(MET),2221( SD ),_:900(UNK),17(    ),3.929
HPhob,1,,A:150(MET),2221( SD ),_:900(UNK),20(    ),3.985
HPhob,1,,A:150(MET),2222( CE ),_:900(UNK),5(    ),3.736
HPhob,1,,A:150(MET),2222( CE ),_:900(UNK),7(    ),3.782
HPhob,1,,A:150(MET),2222( CE ),_:900(UNK),28(    ),3.943
HPhob,1,,A:160(ALA),2392( CB ),_:900(UNK),17(    ),3.778
HPhob,1,,A:169(TYR),2513( CB ),_:900(UNK),20(    ),3.748
HPhob,1,,A:169(TYR),2513( CB ),_:900(UNK),27(    ),3.280
HPhob,1,,A:169(TYR),2514( CG ),_:900(UNK),16(    ),3.851
HPhob,1,,A:169(TYR),2514( CG ),_:900(UNK),20(    ),3.674
HPhob,1,,A:169(TYR),2514( CG ),_:900(UNK),27(    ),3.729
HPhob,1,,A:169(TYR),2515( CD1),_:900(UNK),20(    ),3.774
HPhob,1,,A:169(TYR),2519( CD2),_:900(UNK),16(    ),3.549
HPhob,1,,A:169(TYR),2519( CD2),_:900(UNK),17(    ),3.762
HPhob,1,,A:169(TYR),2520( CE2),_:900(UNK),16(    ),3.789
HPhob,1,,A:169(TYR),2520( CE2),_:900(UNK),17(    ),3.552
