Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:102(GLU),1550( O  ),_:900(UNK),57(    ),2.453
HAccep cn,1,,A:105(ARG),1587( O  ),_:900(UNK),37(    ),2.825
HPhob,1,,A:102(GLU),1551( CB ),_:900(UNK),23(    ),2.870
HPhob,1,,A:102(GLU),1551( CB ),_:900(UNK),24(    ),3.519
HPhob,1,,A:102(GLU),1552( CG ),_:900(UNK),23(    ),3.820
HPhob,1,,A:105(ARG),1589( CG ),_:900(UNK),17(    ),3.624
HPhob,1,,A:105(ARG),1589( CG ),_:900(UNK),18(    ),4.063
HPhob,1,,A:119(ALA),1815( CB ),_:900(UNK),16(    ),3.662
HPhob,1,,A:119(ALA),1815( CB ),_:900(UNK),17(    ),2.801
HPhob,1,,A:119(ALA),1815( CB ),_:900(UNK),18(    ),3.091
HPhob,1,,A:119(ALA),1815( CB ),_:900(UNK),19(    ),4.095
HPhob,1,,A:122(ILE),1852( CG2),_:900(UNK),23(    ),3.643
HPhob,1,,A:122(ILE),1852( CG2),_:900(UNK),24(    ),3.758
HPhob,1,,A:123(PRO),1871( CB ),_:900(UNK),19(    ),3.488
HPhob,1,,A:123(PRO),1871( CB ),_:900(UNK),20(    ),3.537
HPhob,1,,A:123(PRO),1872( CG ),_:900(UNK),15(    ),3.986
HPhob,1,,A:123(PRO),1872( CG ),_:900(UNK),19(    ),3.869
HPhob,1,,A:123(PRO),1872( CG ),_:900(UNK),20(    ),3.731
HPhob,1,,A:197(TYR),3047( CD1),_:900(UNK),19(    ),3.872
HPhob,1,,A:197(TYR),3047( CD1),_:900(UNK),20(    ),3.836
HPhob,1,,A:197(TYR),3048( CE1),_:900(UNK),12(    ),3.435
HPhob,1,,A:197(TYR),3048( CE1),_:900(UNK),19(    ),3.929
HPhob,1,,A:197(TYR),3048( CE1),_:900(UNK),20(    ),3.773
HPhob,1,,A:200(LEU),3102( CB ),_:900(UNK),13(    ),4.030
HPhob,1,,A:200(LEU),3102( CB ),_:900(UNK),30(    ),3.928
HPhob,1,,A:200(LEU),3102( CB ),_:900(UNK),31(    ),3.719
HPhob,1,,A:200(LEU),3104( CD1),_:900(UNK),23(    ),4.097
HPhob,1,,A:200(LEU),3105( CD2),_:900(UNK),23(    ),3.759
HPhob,1,,A:200(LEU),3105( CD2),_:900(UNK),24(    ),3.515
HPhob,1,,A:200(LEU),3105( CD2),_:900(UNK),25(    ),3.762
