Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HDonor nn,1,,A:133(ASN),2047(2HD2),_:900(UNK),13(    ),2.001
HPhob,1,,A:19(TYR),265( CB ),_:900(UNK),23(    ),3.796
HPhob,1,,A:19(TYR),266( CG ),_:900(UNK),23(    ),4.097
HPhob,1,,A:19(TYR),266( CG ),_:900(UNK),27(    ),4.119
HPhob,1,,A:19(TYR),267( CD1),_:900(UNK),27(    ),3.765
HPhob,1,,A:19(TYR),268( CE1),_:900(UNK),27(    ),4.008
HPhob,1,,A:19(TYR),271( CD2),_:900(UNK),2(    ),3.793
HPhob,1,,A:20(ILE),288( CG1),_:900(UNK),7(    ),4.002
HPhob,1,,A:20(ILE),288( CG1),_:900(UNK),10(    ),4.088
HPhob,1,,A:20(ILE),288( CG1),_:900(UNK),11(    ),3.538
HPhob,1,,A:20(ILE),288( CG1),_:900(UNK),12(    ),3.476
HPhob,1,,A:20(ILE),289( CD ),_:900(UNK),7(    ),4.006
HPhob,1,,A:20(ILE),289( CD ),_:900(UNK),8(    ),4.053
HPhob,1,,A:20(ILE),289( CD ),_:900(UNK),10(    ),3.614
HPhob,1,,A:20(ILE),289( CD ),_:900(UNK),11(    ),3.625
HPhob,1,,A:20(ILE),289( CD ),_:900(UNK),12(    ),3.804
HPhob,1,,A:133(ASN),2040( CB ),_:900(UNK),24(    ),3.980
HPhob,1,,A:137(VAL),2106( CG1),_:900(UNK),25(    ),4.028
HPhob,1,,A:137(VAL),2107( CG2),_:900(UNK),24(    ),3.805
HPhob,1,,A:137(VAL),2107( CG2),_:900(UNK),25(    ),4.007
HPhob,1,,A:184(VAL),2838( CB ),_:900(UNK),11(    ),3.927
HPhob,1,,A:184(VAL),2838( CB ),_:900(UNK),18(    ),4.097
HPhob,1,,A:184(VAL),2839( CG1),_:900(UNK),10(    ),3.367
HPhob,1,,A:184(VAL),2839( CG1),_:900(UNK),11(    ),3.447
HPhob,1,,A:184(VAL),2839( CG1),_:900(UNK),18(    ),3.378
HPhob,1,,A:184(VAL),2840( CG2),_:900(UNK),10(    ),4.089
HPhob,1,,A:184(VAL),2840( CG2),_:900(UNK),11(    ),3.986
HPhob,1,,A:184(VAL),2840( CG2),_:900(UNK),18(    ),3.616
HPhob,1,,A:187(VAL),2886( CG1),_:900(UNK),3(    ),3.808
HPhob,1,,A:187(VAL),2886( CG1),_:900(UNK),7(    ),3.963
HPhob,1,,A:187(VAL),2886( CG1),_:900(UNK),8(    ),3.459
HPhob,1,,A:191(PHE),2962( CE2),_:900(UNK),18(    ),4.061
HPhob,1,,A:208(LEU),3247( CD2),_:900(UNK),18(    ),3.501
HPhob,1,,A:213(VAL),3315( CG1),_:900(UNK),2(    ),3.852
