Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep cn,1,,A:108(GLU),1610( O  ),_:900(UNK),43(    ),2.513
HAccep cn,1,,A:111(PHE),1673( O  ),_:900(UNK),28(    ),2.104
HAccep nn,1,,A:248(GLU),3732( O  ),_:900(UNK),29(    ),1.945
PiCat,1,,A:109(ARG),1632( NH2),_:900(UNK),32(    ),2.786
HPhob,1,,A:217(THR),3226( CG2),_:900(UNK),7(    ),3.398
HPhob,1,,A:251(THR),3785( CG2),_:900(UNK),7(    ),3.984
HPhob,1,,A:489(PRO),7491( CB ),_:900(UNK),32(    ),3.892
HPhob,1,,A:489(PRO),7491( CB ),_:900(UNK),33(    ),3.730
HPhob,1,,A:489(PRO),7491( CB ),_:900(UNK),34(    ),4.033
HPhob,1,,A:489(PRO),7492( CG ),_:900(UNK),32(    ),3.983
HPhob,1,,A:489(PRO),7492( CG ),_:900(UNK),33(    ),3.603
HPhob,1,,A:493(GLN),7559( CB ),_:900(UNK),39(    ),3.265
HPhob,1,,A:493(GLN),7560( CG ),_:900(UNK),39(    ),3.128
