Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:90(ALA),1436( O  ),_:900(UNK),42(    ),2.756
HDonor nn,1,,A:90(ALA),1438( HN ),_:900(UNK),19(    ),2.106
HPhob,1,,A:16(LEU),260( CB ),_:900(UNK),8(    ),3.973
HPhob,1,,A:24(VAL),359( CB ),_:900(UNK),21(    ),4.043
HPhob,1,,A:24(VAL),359( CB ),_:900(UNK),22(    ),3.755
HPhob,1,,A:24(VAL),359( CB ),_:900(UNK),23(    ),3.793
HPhob,1,,A:24(VAL),359( CB ),_:900(UNK),24(    ),4.096
HPhob,1,,A:24(VAL),360( CG1),_:900(UNK),21(    ),3.866
HPhob,1,,A:24(VAL),360( CG1),_:900(UNK),22(    ),3.938
HPhob,1,,A:24(VAL),360( CG1),_:900(UNK),23(    ),3.825
HPhob,1,,A:24(VAL),360( CG1),_:900(UNK),24(    ),3.590
HPhob,1,,A:24(VAL),360( CG1),_:900(UNK),29(    ),3.673
HPhob,1,,A:24(VAL),361( CG2),_:900(UNK),21(    ),3.578
HPhob,1,,A:24(VAL),361( CG2),_:900(UNK),22(    ),3.514
HPhob,1,,A:24(VAL),361( CG2),_:900(UNK),23(    ),4.102
HPhob,1,,A:89(MET),1422( SD ),_:900(UNK),30(    ),3.908
