Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),22(    ),1.987
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),5(    ),1.943
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),3.658
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),20(    ),3.403
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),20(    ),3.762
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),20(    ),3.620
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),21(    ),3.332
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),12(    ),3.688
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),20(    ),3.073
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),21(    ),3.073
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),10(    ),3.287
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),11(    ),3.281
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),10(    ),3.501
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),11(    ),3.357
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),10(    ),3.779
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),11(    ),4.009
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),11(    ),3.580
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),14(    ),3.705
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),17(    ),4.006
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),18(    ),3.492
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),18(    ),3.868
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),17(    ),3.905
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),18(    ),3.610
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),15(    ),3.759
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),16(    ),3.577
HPhob,1,,A:117(LYS),1649( CG ),_:900(UNK),16(    ),3.767
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),6(    ),3.745
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),7(    ),3.853
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),6(    ),3.618
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),11(    ),4.054
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),6(    ),3.406
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),11(    ),3.330
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),11(    ),3.795
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),14(    ),3.732
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),14(    ),3.917
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),18(    ),3.502
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),10(    ),3.513
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),11(    ),4.063
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),10(    ),3.836
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),19(    ),3.591
