Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),26(    ),2.021
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),10(    ),2.005
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),2(    ),3.671
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),20(    ),3.283
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),20(    ),3.748
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),20(    ),3.677
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),21(    ),4.029
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),20(    ),3.116
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),21(    ),3.505
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),13(    ),3.250
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),14(    ),3.298
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),13(    ),3.318
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),14(    ),3.459
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),13(    ),3.981
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),14(    ),3.719
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),13(    ),3.533
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),22(    ),3.350
HPhob,1,,A:100(TYR),1419( CE2),_:900(UNK),22(    ),3.232
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),1(    ),3.474
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),3(    ),3.980
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),4(    ),3.658
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),22(    ),4.120
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),1(    ),3.823
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),22(    ),3.838
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),1(    ),3.554
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),3(    ),3.839
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),22(    ),3.313
HPhob,1,,A:110(TYR),1553( CE2),_:900(UNK),22(    ),3.947
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),6(    ),3.638
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),7(    ),3.781
HPhob,1,,A:117(LYS),1649( CG ),_:900(UNK),6(    ),3.802
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),12(    ),3.770
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),17(    ),3.851
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),12(    ),3.639
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),13(    ),4.061
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),12(    ),3.421
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),13(    ),3.333
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),14(    ),4.101
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),13(    ),3.780
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),22(    ),3.922
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),4(    ),3.744
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),1(    ),3.533
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),4(    ),3.909
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),22(    ),3.944
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),13(    ),4.074
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),14(    ),3.411
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),15(    ),4.097
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),14(    ),3.760
