Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),27(    ),2.071
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),10(    ),2.026
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),2(    ),3.706
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),20(    ),3.285
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),20(    ),3.777
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),20(    ),3.701
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),21(    ),3.974
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),20(    ),3.145
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),21(    ),3.423
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),13(    ),3.290
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),14(    ),3.322
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),13(    ),3.353
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),14(    ),3.477
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),13(    ),4.014
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),14(    ),3.740
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),13(    ),3.556
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),3(    ),4.074
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),4(    ),3.677
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),3(    ),3.958
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),6(    ),3.573
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),7(    ),3.732
HPhob,1,,A:117(LYS),1649( CG ),_:900(UNK),6(    ),3.737
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),12(    ),3.784
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),17(    ),3.933
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),12(    ),3.656
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),13(    ),4.020
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),12(    ),3.449
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),13(    ),3.297
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),14(    ),4.071
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),13(    ),3.754
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),4(    ),3.771
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),3(    ),4.121
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),4(    ),3.942
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),13(    ),4.078
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),14(    ),3.406
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),14(    ),3.768
