Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),26(    ),2.078
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),10(    ),2.018
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),2(    ),3.694
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),20(    ),3.276
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),20(    ),3.812
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),20(    ),3.747
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),21(    ),3.918
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),20(    ),3.190
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),21(    ),3.374
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),13(    ),3.274
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),14(    ),3.309
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),13(    ),3.341
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),14(    ),3.468
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),13(    ),4.004
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),14(    ),3.732
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),13(    ),3.547
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),22(    ),3.559
HPhob,1,,A:100(TYR),1419( CE2),_:900(UNK),22(    ),3.459
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),1(    ),3.564
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),3(    ),4.070
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),4(    ),3.686
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),1(    ),3.926
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),22(    ),3.915
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),1(    ),3.651
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),3(    ),3.944
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),22(    ),3.415
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),6(    ),3.587
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),7(    ),3.741
HPhob,1,,A:117(LYS),1649( CG ),_:900(UNK),6(    ),3.736
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),12(    ),3.794
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),17(    ),3.935
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),12(    ),3.663
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),13(    ),4.036
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),12(    ),3.454
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),13(    ),3.312
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),14(    ),4.085
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),13(    ),3.765
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),22(    ),3.860
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),1(    ),4.111
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),4(    ),3.751
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),1(    ),3.451
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),3(    ),4.124
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),4(    ),3.921
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),22(    ),3.739
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),13(    ),4.081
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),14(    ),3.413
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),14(    ),3.770
