Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),26(    ),2.018
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),10(    ),2.063
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),4.257
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),2(    ),3.678
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),22(    ),3.297
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),22(    ),3.824
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),22(    ),3.743
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),23(    ),4.060
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),22(    ),3.191
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),23(    ),3.533
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),16(    ),3.338
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),17(    ),3.305
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),16(    ),3.484
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),17(    ),3.365
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),16(    ),3.744
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),17(    ),4.023
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),17(    ),3.566
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),1(    ),3.634
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),4(    ),3.725
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),1(    ),3.998
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),1(    ),3.751
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),3(    ),4.053
HPhob,1,,A:117(LYS),1649( CG ),_:900(UNK),3(    ),4.068
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),12(    ),3.776
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),13(    ),3.942
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),12(    ),3.657
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),17(    ),4.007
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),12(    ),3.451
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),16(    ),4.047
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),17(    ),3.285
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),1(    ),4.121
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),17(    ),3.746
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),1(    ),3.969
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),4(    ),3.689
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),1(    ),3.311
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),3(    ),3.880
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),4(    ),3.874
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),16(    ),3.389
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),17(    ),4.071
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),16(    ),3.761
