Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),26(    ),1.773
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),10(    ),1.839
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),4.310
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),2(    ),3.593
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),22(    ),3.287
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),22(    ),3.777
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),22(    ),3.705
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),23(    ),4.036
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),22(    ),3.146
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),23(    ),3.504
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),16(    ),3.481
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),17(    ),3.488
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),16(    ),3.606
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),17(    ),3.523
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),16(    ),3.845
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),17(    ),3.711
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),3(    ),3.882
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),4(    ),3.842
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),3(    ),3.779
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),7(    ),3.819
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),12(    ),3.658
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),13(    ),3.932
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),12(    ),3.580
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),17(    ),3.866
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),12(    ),3.398
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),16(    ),3.975
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),17(    ),3.149
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),17(    ),3.667
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),4(    ),3.571
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),3(    ),4.123
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),4(    ),3.778
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),16(    ),3.333
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),17(    ),4.001
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),16(    ),3.743
