Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),28(    ),1.972
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),12(    ),1.892
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),6(    ),3.648
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),13(    ),3.285
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),13(    ),3.773
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),13(    ),3.701
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),15(    ),4.033
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),13(    ),3.142
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),15(    ),3.501
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),3(    ),3.369
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),5(    ),3.407
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),3(    ),3.398
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),5(    ),3.528
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),3(    ),4.031
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),5(    ),3.767
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),3(    ),3.591
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),17(    ),3.736
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),20(    ),3.995
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),20(    ),3.892
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),19(    ),3.576
HPhob,1,,A:117(LYS),1649( CG ),_:900(UNK),19(    ),3.764
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),1(    ),3.747
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),2(    ),3.939
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),3.619
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),3(    ),3.947
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),1(    ),3.406
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),3(    ),3.209
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),5(    ),4.005
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),3(    ),3.681
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),17(    ),3.700
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),17(    ),3.885
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),3(    ),4.003
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),5(    ),3.326
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),7(    ),4.102
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),5(    ),3.716
