Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),30(    ),1.897
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),18(    ),1.961
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),6(    ),3.650
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),9(    ),4.287
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),19(    ),3.292
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),19(    ),3.769
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),19(    ),3.695
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),21(    ),4.025
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),19(    ),3.136
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),21(    ),3.492
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),2(    ),3.300
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),4(    ),3.313
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),2(    ),3.387
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),4(    ),3.486
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),2(    ),4.054
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),4(    ),3.761
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),2(    ),3.594
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),22(    ),3.450
HPhob,1,,A:100(TYR),1419( CE2),_:900(UNK),22(    ),3.360
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),10(    ),3.764
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),12(    ),4.092
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),14(    ),3.575
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),14(    ),3.945
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),22(    ),3.926
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),12(    ),3.976
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),14(    ),3.703
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),22(    ),3.476
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),13(    ),3.780
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),1(    ),3.712
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),3(    ),3.837
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),3.615
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),2(    ),4.029
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),1(    ),3.426
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),2(    ),3.323
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),4(    ),4.091
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),2(    ),3.793
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),22(    ),3.726
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),10(    ),3.669
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),14(    ),4.013
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),10(    ),3.863
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),12(    ),3.967
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),14(    ),3.367
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),22(    ),3.674
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),4(    ),3.448
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),4(    ),3.806
