Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),30(    ),2.036
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),17(    ),2.148
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),4(    ),3.647
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),11(    ),4.306
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),19(    ),3.270
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),19(    ),3.640
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),19(    ),3.331
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),20(    ),3.878
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),19(    ),2.885
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),20(    ),3.358
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),3(    ),3.369
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),6(    ),3.433
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),3(    ),3.431
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),6(    ),3.614
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),3(    ),4.042
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),6(    ),3.843
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),3(    ),3.673
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),12(    ),3.627
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),15(    ),3.998
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),16(    ),3.447
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),16(    ),3.740
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),15(    ),3.755
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),16(    ),3.475
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),13(    ),3.858
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),1(    ),3.870
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),3.755
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),3(    ),4.016
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),1(    ),3.530
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),3(    ),3.283
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),3(    ),3.782
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),12(    ),3.690
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),12(    ),3.822
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),15(    ),4.062
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),16(    ),3.541
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),3(    ),3.973
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),6(    ),3.405
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),6(    ),3.748
