Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),33(    ),2.021
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),18(    ),2.100
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),6(    ),3.616
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),9(    ),4.346
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),19(    ),3.174
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),19(    ),4.094
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),21(    ),3.460
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),19(    ),3.573
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),21(    ),3.021
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),3(    ),3.295
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),5(    ),3.309
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),3(    ),3.364
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),5(    ),3.491
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),3(    ),4.035
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),5(    ),3.775
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),3(    ),3.560
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),22(    ),3.561
HPhob,1,,A:100(TYR),1419( CE2),_:900(UNK),22(    ),3.453
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),10(    ),3.768
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),14(    ),3.639
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),14(    ),3.990
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),22(    ),3.931
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),12(    ),4.053
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),14(    ),3.700
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),22(    ),3.426
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),13(    ),3.692
HPhob,1,,A:117(LYS),1649( CG ),_:900(UNK),12(    ),4.023
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),1(    ),3.694
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),2(    ),3.806
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),3.560
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),3(    ),4.012
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),1(    ),3.366
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),3(    ),3.298
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),5(    ),4.091
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),1(    ),4.110
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),3(    ),3.757
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),22(    ),3.856
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),10(    ),3.686
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),14(    ),4.078
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),10(    ),3.842
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),12(    ),4.021
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),14(    ),3.399
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),22(    ),3.737
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),5(    ),3.474
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),5(    ),3.833
