Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),31(    ),2.096
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),17(    ),2.165
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),4(    ),3.615
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),11(    ),4.347
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),25(    ),3.310
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),25(    ),3.700
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),25(    ),3.309
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),26(    ),4.003
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),25(    ),2.906
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),26(    ),3.466
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),1(    ),4.079
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),3(    ),3.191
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),6(    ),3.265
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),3(    ),3.269
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),6(    ),3.469
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),3(    ),3.924
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),6(    ),3.729
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),3(    ),3.514
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),12(    ),3.644
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),15(    ),4.035
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),16(    ),3.464
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),16(    ),3.743
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),15(    ),3.764
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),16(    ),3.449
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),13(    ),3.814
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),1(    ),3.903
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),3.746
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),1(    ),3.506
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),3(    ),3.394
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),3(    ),3.833
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),12(    ),3.687
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),12(    ),3.798
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),15(    ),4.124
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),16(    ),3.581
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),3(    ),4.047
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),6(    ),3.475
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),6(    ),3.782
