Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),28(    ),2.063
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),10(    ),2.077
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),4.316
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),2(    ),3.651
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),21(    ),3.140
HPhob,1,,A:85(PHE),1204( CZ ),_:900(UNK),25(    ),3.987
HPhob,1,,A:85(PHE),1205( CD2),_:900(UNK),25(    ),3.470
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),20(    ),3.991
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),21(    ),3.833
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),25(    ),2.925
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),13(    ),3.319
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),14(    ),3.356
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),13(    ),3.374
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),14(    ),3.490
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),13(    ),4.045
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),14(    ),3.760
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),13(    ),3.554
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),4(    ),3.785
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),3(    ),4.118
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),7(    ),3.683
HPhob,1,,A:117(LYS),1649( CG ),_:900(UNK),3(    ),3.966
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),12(    ),3.723
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),17(    ),3.831
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),12(    ),3.591
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),13(    ),3.974
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),12(    ),3.400
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),13(    ),3.259
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),14(    ),3.993
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),13(    ),3.716
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),4(    ),3.681
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),3(    ),3.949
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),4(    ),3.837
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),14(    ),3.387
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),15(    ),4.077
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),14(    ),3.782
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),20(    ),4.033
