Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),28(    ),1.950
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),10(    ),1.966
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),4.343
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),2(    ),3.719
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),25(    ),3.461
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),20(    ),3.666
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),21(    ),3.845
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),13(    ),3.425
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),14(    ),3.539
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),13(    ),3.545
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),14(    ),3.744
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),14(    ),3.996
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),13(    ),3.782
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),18(    ),3.286
HPhob,1,,A:100(TYR),1419( CE2),_:900(UNK),18(    ),3.275
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),1(    ),3.425
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),3(    ),3.956
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),4(    ),3.715
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),18(    ),3.894
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),1(    ),3.779
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),18(    ),3.677
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),1(    ),3.548
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),3(    ),3.808
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),18(    ),3.244
HPhob,1,,A:110(TYR),1553( CE2),_:900(UNK),18(    ),3.958
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),7(    ),3.788
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),12(    ),3.827
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),12(    ),3.770
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),13(    ),4.003
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),12(    ),3.604
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),13(    ),3.324
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),14(    ),4.109
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),13(    ),3.862
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),18(    ),3.871
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),4(    ),3.698
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),1(    ),3.511
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),3(    ),4.079
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),4(    ),3.876
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),18(    ),3.897
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),14(    ),3.479
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),25(    ),3.967
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),14(    ),3.857
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),21(    ),3.934
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),25(    ),4.055
