Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),29(    ),2.039
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),10(    ),2.148
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),4.386
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),2(    ),3.664
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),21(    ),3.419
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),20(    ),3.829
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),21(    ),3.755
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),16(    ),3.376
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),17(    ),3.312
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),16(    ),3.546
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),17(    ),3.372
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),16(    ),3.816
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),17(    ),4.032
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),17(    ),3.568
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),4(    ),3.741
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),3(    ),4.115
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),7(    ),3.653
HPhob,1,,A:117(LYS),1649( CG ),_:900(UNK),3(    ),3.958
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),12(    ),3.702
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),13(    ),3.782
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),12(    ),3.558
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),17(    ),3.997
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),12(    ),3.361
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),16(    ),4.059
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),17(    ),3.277
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),12(    ),4.099
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),17(    ),3.739
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),4(    ),3.749
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),3(    ),4.016
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),4(    ),3.905
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),16(    ),3.438
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),17(    ),4.079
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),25(    ),4.075
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),16(    ),3.814
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),25(    ),3.450
