Type,Ligand,Title,LigResidue,LigAtom,RecResidue,RecAtom,Dist
HAccep nn,1,,A:82(GLY),1166( O  ),_:900(UNK),29(    ),1.973
HDonor nn,1,,A:82(GLY),1167( HN ),_:900(UNK),10(    ),2.036
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),1(    ),4.318
PiFace,1,,A:121(TYR),1713( CG ),_:900(UNK),2(    ),3.688
HPhob,1,,A:84(PRO),1188( CG ),_:900(UNK),21(    ),3.421
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),20(    ),3.623
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),21(    ),4.061
HPhob,1,,A:85(PHE),1206( CE2),_:900(UNK),25(    ),3.810
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),13(    ),3.416
HPhob,1,,A:100(TYR),1412( CB ),_:900(UNK),14(    ),3.552
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),13(    ),3.530
HPhob,1,,A:100(TYR),1413( CG ),_:900(UNK),14(    ),3.758
HPhob,1,,A:100(TYR),1414( CD1),_:900(UNK),14(    ),3.996
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),13(    ),3.781
HPhob,1,,A:100(TYR),1418( CD2),_:900(UNK),18(    ),3.248
HPhob,1,,A:100(TYR),1419( CE2),_:900(UNK),18(    ),3.208
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),1(    ),3.444
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),3(    ),3.957
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),4(    ),3.664
HPhob,1,,A:110(TYR),1546( CB ),_:900(UNK),18(    ),3.965
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),1(    ),3.771
HPhob,1,,A:110(TYR),1547( CG ),_:900(UNK),18(    ),3.730
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),1(    ),3.531
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),3(    ),3.770
HPhob,1,,A:110(TYR),1552( CD2),_:900(UNK),18(    ),3.289
HPhob,1,,A:110(TYR),1553( CE2),_:900(UNK),18(    ),3.977
HPhob,1,,A:112(ALA),1587( CB ),_:900(UNK),7(    ),3.834
HPhob,1,,A:121(TYR),1712( CB ),_:900(UNK),12(    ),3.826
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),12(    ),3.764
HPhob,1,,A:121(TYR),1713( CG ),_:900(UNK),13(    ),4.025
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),12(    ),3.583
HPhob,1,,A:121(TYR),1714( CD1),_:900(UNK),13(    ),3.332
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),13(    ),3.869
HPhob,1,,A:121(TYR),1715( CE1),_:900(UNK),18(    ),3.832
HPhob,1,,A:121(TYR),1718( CD2),_:900(UNK),4(    ),3.698
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),1(    ),3.502
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),3(    ),4.064
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),4(    ),3.859
HPhob,1,,A:121(TYR),1719( CE2),_:900(UNK),18(    ),3.892
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),13(    ),4.060
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),14(    ),3.464
HPhob,1,,A:125(ILE),1779( CG1),_:900(UNK),21(    ),4.025
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),14(    ),3.830
HPhob,1,,A:125(ILE),1780( CD ),_:900(UNK),25(    ),3.959
