name,SMILES,pIC50
lig_7,CC(C)C[C@@H](N)C(=O)NC1=CC=C(C2=CN=CO2)C(OC(F)F)=C1,7.920818753952375
lig_9,CC(C)C[C@@H](N)C1=NC2=CC=C(C=C2C=N1)C1=CN=CO1,6.376750709602099
lig_10,CC(C)CC(N)C1=NC2=CC=C(C=C2C(C)=N1)C1=CN=CO1,6.769551078621726
lig_11,CCC1=NC(=NC2=CC=C(C=C12)C1=CN=CO1)C(N)CC(C)C,7.173925197299173
lig_(S)-11,CCC1=NC(=NC2=CC=C(C=C12)C1=CN=CO1)[C@@H](N)CC(C)C,7.522878745280337
lig_(R)-11,CCC1=NC(=NC2=CC=C(C=C12)C1=CN=CO1)[C@H](N)CC(C)C,6.657577319177793
lig_12,CCCC1=NC(=NC2=CC=C(C=C12)C1=CN=CO1)C(N)CC(C)C,6.522878745280337
lig_13,COC1=NC(=NC2=CC=C(C=C12)C1=CN=CO1)C(N)CC(C)C,6.638272163982407
lig_14,CCOC1=NC(=NC2=CC=C(C=C12)C1=CN=CO1)C(N)CC(C)C,6.468521082957745
lig_15,CNC1=NC(=NC2=CC=C(C=C12)C1=CN=CO1)C(N)CC(C)C,6.6777807052660805
lig_16,CCNC1=NC(=NC2=CC=C(C=C12)C1=CN=CO1)C(N)CC(C)C,7.0
lig_17,CC(C)CC(N)C1=NC2=CC=C(C=C2C(=N1)N(C)C)C1=CN=CO1,6.443697499232712
lig_18,CC(C)CC(N)C1=NC2=CC=C(C=C2C(=N1)C#N)C1=CN=CO1,7.769551078621726
lig_19,COC1=C(C=C2C=NC(=NC2=C1)[C@H](N)CC(C)C)C1=CN=CO1,6.958607314841775
lig_20,COC1=C2C=NC(=NC2=CC=C1C1=CN=CO1)[C@H](N)CC(C)C,6.443697499232712
lig_21,CCC1=NC(=NC2=CC(OC)=C(C=C12)C1=CN=CO1)C(N)CC(C)C,7.619788758288394
lig_(R)-21,CCC1=NC(=NC2=CC(OC)=C(C=C12)C1=CN=CO1)C(N)CC(C)C,7.022276394711152
lig_(S)-21,CCC1=NC(=NC2=CC(OC)=C(C=C12)C1=CN=CO1)C(N)CC(C)C,7.920818753952375
lig_22,COC1=C(C=C2C(=C1)N=C(N=C2C#N)C(N)CC(C)C)C1=CN=CO1,8.207608310501746
lig_23,CCC1=NC(=NC2=CC=C(C=C12)C1=CC=NC=C1)C(N)CC(C)C,7.356547323513812
lig_24,CCC1=NC(CCC(C)C)=NC2=CC=C(C=C12)C1=CC=NC=C1,6.3979400086720375
lig_25,CCC1=NC(=NC2=CC(OC)=C(C=C12)C1=CC=NC=C1)C(N)CC(C)C,6.376750709602099
lig_26,CC(C)CC(N)C1=NC2=CC=C(C=C2C(=N1)C#N)C1=CC=NC=C1,7.795880017344075
lig_30,CC(C)CC(N)C1=NC2=CC=C(C=C2C=C1)C1=CC=NC=C1,7.6777807052660805
lig_31,CC(C)CC(N)C1=NC2=CC=C(C=C2C(=C1)C#N)C1=CC=NC=C1,8.136677139879543
lig_(R)-31,CC(C)C[C@@H](N)C1=NC2=CC=C(C=C2C(=C1)C#N)C1=CC=NC=C1,7.958607314841775
lig_(S)-31,CC(C)C[C@H](N)C1=NC2=CC=C(C=C2C(=C1)C#N)C1=CC=NC=C1,8.236572006437063
lig_(R)-32,CC(C)C[C@@H](N)C1=NC2=CC(OC)=C(C3=CN=CO3)C=C2C(C#N)=C1,7.657577319177793
lig_(S)-32,CC(C)C[C@H](N)C1=NC2=CC(OC)=C(C3=CN=CO3)C=C2C(C#N)=C1,8.3767507096021
lig_33,CC(C)CC(N)C1=NC2=CC=C(C3=CC=NC=C3)C=C2C=C1C#N,6.096910013008056
