name,SMILES,pIC50
lig_2,c1cc(ccc1CN2CCOCC2)c3[nH]c4c(n3)c(ccn4)c5ccc(cc5)C(=O)N6CCCC6,5.309803919971486
lig_3,COc1cc(ccc1c2ccnc3c2nc([nH]3)c4ccc(cc4)CN5CCOCC5)F,5.638272163982407
lig_4,COc1cc(ccc1c2ccnc3c2[nH]c(n3)c4ccc(cc4)CN5CCOCC5)C(=O)N6CCCC6,6.00436480540245
lig_5,COc1cc(ccc1c2ccnc3c2nc([nH]3)C4CCNCC4)F,5.327902142064283
lig_7,COc1cc(ccc1c2ccnc3c2cc([nH]3)c4ccc(cc4)CN5CCOCC5)F,7.795880017344075
lig_8,COc1cc(ccc1c2ccnc3c2cc([nH]3)C4CCNCC4)F,8.221848749616356
lig_9,COc1cc(ccc1c2ccnc3c2cc([nH]3)C4CCNCC4)C(=O)N5CCCC5,8.397940008672037
lig_10,CC(=O)N[C@H]1CC[C@@H](CC1)c2[nH]c3nccc(c3c2)c4c(cc(cc4)F)OC,7.0
lig_11,COc1cc(ccc1c2ccnc3c2cc([nH]3)C4CCOCC4)F,6.3979400086720375
lig_12,COc1cc(ccc1c2ccnc3c2cc([nH]3)C4CCOCC4)C(=O)N5CCCC5,7.2441251443275085
lig_13,CC(=O)N1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(cc4OC)F,7.075720713938118
lig_14,CC(=O)N1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(cc4OC)C(=O)N5CCCC5,7.958607314841775
lig_15,CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(cc4OC)F,8.0
lig_16,COc1cc(ccc1c2ccnc3c2cc([nH]3)C4CCN(CC4)CCO)F,8.522878745280337
lig_17,COc1cc(ccc1c2ccnc3c2cc([nH]3)C4CCN(CC4)CCO)C(=O)N5CCCC5,8.397940008672037
lig_18,CN(C)C(=O)CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(cc4OC)F,8.221848749616356
lig_19,CN(C)C(=O)CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(cc4OC)C(=O)N5CCCC5,8.522878745280337
lig_20,Cc1nc2ccc(cc2n1C(C)C)c3ccnc4c3cc([nH]4)C5CCN(CC5)CC(=O)N(C)C,8.522878745280337
lig_21,Cn1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N(C)C,6.0
lig_22,Cn1cc(c(cc1=O)OC)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N(C)C,4.522878745280337
lig_23,CCn1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N(C)C,6.481486060122113
lig_24,CC(C)n1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N(C)C,8.522878745280337
lig_25,CC(C)Cn1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N(C)C,6.585026652029182
lig_26,CN(C)C(=O)CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(=O)n(c4)CCOC,6.886056647693163
lig_27,CN(C)C(=O)CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(=O)n(c4)CCSC,7.958607314841775
lig_28,CN(C)C(=O)CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(=O)n(c4)C5CCOCC5,5.920818753952375
lig_29,CN(C)C(=O)CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(=O)n(c4)CC5CCOCC5,5.3979400086720375
lig_30,CN(C)C(=O)CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(=O)n(c4)CCC5CCOCC5,5.346787486224656
lig_31,CN(C)C(=O)CN1CCC(CC1)c2cc3c(ccnc3[nH]2)c4ccc(=O)n(c4)C5CCC5,7.154901959985743
lig_32,CC(C)n1c(=O)ccc(n1)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N(C)C,8.096910013008056
lig_33,CC(C)n1cc(cnc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N(C)C,8.397940008672037
lig_34,CC(C)n1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)NC,8.0
lig_35,CC(C)n1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)Cc5nccs5,7.853871964321762
lig_36,CC(C)n1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(F)F,6.795880017344075
lig_37,CC(C)n1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)C(=O)C,7.4089353929735005
lig_38,CC(C)n1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N5CCCCC5,8.096910013008056
lig_39,CC(C)n1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCN(CC4)CC(=O)N5CCCC5,8.221848749616356
lig_40,CC(C)n1cc(ccc1=O)c2ccnc3c2cc([nH]3)C4CCNCC4,8.522878745280337
