name,SMILES,pIC50
lig_1,CCOC1=CC=CC(C2=CC=C3C(NN=C3)=C2)=C1,6.096910013008056
lig_2,CCOC1=CC=CC(C2=CC=C3C(NN=C3C4=CC(CN)=CC=C4)=C2)=C1,5.6777807052660805
lig_3,OC(C=C1)=CC=C1C2=CC=C3C(NN=C3)=C2,5.522878745280337
lig_15,OC(C=C1)=CC=C1C2=CC=C3C(NN=C3C4=CC(CN)=CC=C4)=C2,6.096910013008056
lig_18,OC(C=C1)=CC=C1C2=CC=C3C(NN=C3C4=CC=C(O)C=C4)=C2,6.6020599913279625
lig_19,CCOC1=CC=CC(C2=CC=C3C(N[NH+]=C3NC(C4=CC=CC=C4)=O)=C2)=C1.[O-]C(C(F)(F)F)=O,6.853871964321762
lig_34,O=C(C1=CC=CC=C1)NC2=NNC3=CC(C4=CC=C(O)C=C4)=CC=C32,6.958607314841775
lig_38,OC(C=C1)=CC=C1C2=CC=C3C(NN=C3C4=CC=C(N5CCNCC5)C=C4)=C2,7.54515513999149
lig_40,OC(C=C1)=CC=C1C2=CC=C3C(NN=C3C4=CC=C(N5CCN(CCN6CCOC6=O)CC5)C=C4)=C2,7.017728766960432
lig_41,OC(C=C1)=CC(F)=C1C2=CC=C3C(NN=C3C4=CC=C(N5CCNCC5)C=C4)=C2,7.111259039317107
lig_42,OC(C(F)=C1)=CC=C1C2=CC=C3C(NN=C3C4=CC=C(N5CCNCC5)C=C4)=C2,6.58838029403677
lig_43,OC(C=C1)=CC=C1C2=CC=C3C(NN=C3C4=CC=C(N5CCN(CC)CC5)C=C4)=C2,7.113509274827518
lig_44,OC(C=C1)=CC=C1C2=CC=C3C(NN=C3C4=CC=C(N)C=C4)=C2,6.703334809738469
lig_S5,CCOC1=CC(F)=CC(C2=CC=C3C(NN=C3C4=CC(CN)=CC=C4)=C2)=C1,5.431798275933005
lig_S8,CCOC1=CC=CC(C2=CC=C3C(NN=C3C4=CC(CN)=CC=C4)=C2)=C1F,5.619788758288394
