name,SMILES,pIC50
lig_7a,O=C(CN1C=CN=C1)NC2=CC=CC=C2,3.958607314841775
lig_7b,O=C(CN1C=CN=C1)N(C)C2=CC=CC=C2,2.6020599913279625
lig_7c,O=C(CN1C=CN=C1)NC2=CC(Br)=CC=C2,4.447210149807218
lig_7d,O=C(CN1C=CN=C1)NC2=CC=C(I)C=C2,5.078833949362261
lig_7e,O=C(CN1C=CN=C1)N(C)C2=CC=C(I)C=C2,4.017095882207372
lig_7f,O=C(CN1C=CN=C1)NCC2=CC=CC=C2,4.239577516576788
lig_7g,O=C(CN1C=CN=C1)N(C)CC2=CC=CC=C2,4.295592072613159
lig_7h,O=C(CN1C=CN=C1)N(CC2=CC=CC=C2)CC3=CC=CC=C3,4.188424994129407
lig_7i,O=C(CN1C=CN=C1)N(C)C(C2=CC=CC=C2)C3=CC=CC=C3,6.045757490560675
lig_7j,O=C(CN1C=CN=C1)N(C)C(C2=CC=CC=C2)C3CCCC3,4.941953769604718
lig_7k,O=C(CN1C=CN=C1)N(C)C(C2=CC=CC=C2)C3CCCCC3,4.571217488503046
lig_7l,O=C(CN1C=CN=C1)N(C)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3,6.022276394711152
lig_7m,O=C(CN1C=CN=C1)N(C)C(C2=CC=CC=C2)C3=CC(Br)=CC=C3,6.045757490560675
lig_7n,O=C(CN1C=CN=C1)N(C)C(C2=CC=CC=C2)C3=CC=C(I)C=C3,6.022276394711152
lig_7o,O=C(CN1C=CN=C1)N(C)C(C2=CC=CC=C2)C3=CC=C(OCC4=CC=CC=C4)C=C3,5.920818753952375
lig_7p,O=C(CN1C=CN=C1)N(C)C(C2=CC=CC=C2)C3=CC=C(OCC4=CC=C(Br)C=C4)C=C3,5.096910013008056
lig_11a,CC(N(CC1=CC=CC=C1)CCCN2C=CN=C2)=O,3.6497519816658373
lig_11b,O=C(N(CC1=CC=CC=C1)CCCN2C=CN=C2)C3=CC=CC=C3,4.508638306165727
lig_11c,O=C(N(CC1=CC=CC=C1)CCCN2C=CN=C2)CC3=CC=CC=C3,4.494985759915893
