name,SMILES,pIC50
lig_5,C1(NC2=CN(C3CCOCC3)N=C2)=NC(C(C4CC4)=CC=C5)=C5C=N1,7.823908740944319
lig_6,CC(N(C1CCOCC1)N=C2)=C2NC3=NC=C4C(C(C5CC5)=CC=C4)=N3,8.96657624451305
lig_7,CC(N(C1CCOCC1)N=C2)=C2NC3=NC(C=C(N4[C@@H](C)COC4=O)C=C5)=C5C=N3,9.200659450546418
lig_8,CC(N(C1CCOCC1)N=C2)=C2NC3=NC4=CC(C5=CC=NN5)=CC=C4C=N3,8.769551078621726
lig_9,CC(N(C1CCOCC1)N=C2)=C2NC3=NC(C=C(C4(CC4)C#N)C=C5)=C5C=N3,9.161150909262744
lig_10,CC(N(C1CCOCC1)N=C2)=C2NC3=NC(C=C(C4(C5(CC5)C4)C#N)C=C6)=C6C=N3,9.200659450546418
lig_11,N#CC1(C2(CC2)C1)C3=CC4=C(C=C3)C=NC(NC5=C(Cl)N(C6CCOCC6)N=C5)=N4,10.096910013008056
lig_12,CC(N(C1CCOCC1)N=C2)=C2NC3=NC(C=C(C4CCN(C5COC5)CC4)C=C6)=C6C=N3,5.169411331314856
lig_13,ClC1=CC2=C(C=C1C3CCN(C4COC4)CC3)N=C(NC5=C(C)N(C6CC6)N=C5)N=C2,9.200659450546418
lig_14,ClC1=CC2=CN=C(NC3=C(Cl)N(C4CC4)N=C3)N=C2C=C1C5CCN(C6COC6)CC5,9.200659450546418
lig_15,ClC1=CC2=C(C=C1C3CCN(C4COC4)CC3)N=C(NC5=C(Cl)N(CC(C)(C)O)N=C5)N=C2,9.1249387366083
lig_16,ClC1=CC2=C(C=C1N3CCN(C4COC4)CC3)N=C(NC5=C(Cl)N(C6CC6)N=C5)N=C2,8.585026652029182
lig_17,ClC1=CC(C=N2)=C(C=C1C3C(F)CN(C4COC4)CC3)N=C2NC5=C(Cl)N(C6CC6)N=C5,9.167491087293763
lig_18,ClC1=CC(C=N2)=C(C=C1C3C(F)CN(C4COC4)CC3)N=C2NC5=C(Cl)N(CC(F)F)N=C5,9.200659450546418
lig_19,ClC1=CC2=CN=C(NC3=C(Cl)N(C4CC4(F)F)N=C3)N=C2C=C1C5CCN(C6COC6)CC5F,9.200659450546418
lig_20,ClC1=CC2=C(C=C1C3C(F)CN(C4CCOC4)CC3)N=C(NC5=C(Cl)N(C6CC6(F)F)N=C5)N=C2,9.200659450546418
lig_21,ClC1=CC(C=N2)=C(C=C1C3C(F)CN(C4C(F)COC4)CC3)N=C2NC5=C(Cl)N(C6CC6(F)F)N=C5,9.346787486224656
lig_22,ClC1=CC2=C(C=C1[C@H]3[C@H](F)CN([C@@H]4COC[C@@H]4O)CC3)N=C(NC5=C(Cl)N(C6CC6(F)F)N=C5)N=C2,9.431798275933005
lig_23,ClC1=CC2=CN=C(NC3=C(Cl)N(C4C(F)(F)C4)N=C3)N=C2C=C1C5CCNCC5F,9.173925197299173
lig_24,ClC1=CC2=CN=C(NC3=C(C)N(C4C(F)(F)C4)N=C3)N=C2C=C1C5CCN([C@@]6(C)COC[C@H]6O)CC5,10.045757490560675
