name,SMILES,pIC50
lig_1,CNC(=O)c1c(oc2ccc(c(c12)CN1CCCCC1)O)-c1ccc(cc1)O,6.494850021680094
lig_6,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(cc1)O,6.568636235841013
lig_12,CC(=O)c1c(oc2ccc(c(c12)CN1CCC1)O)-c1ccc(cn1)O,6.657577319177793
lig_13,CNC(=O)c1c(oc2ccc(c(c12)CN1CCCC1)O)-c1ccc(cc1)O,6.481486060122113
lig_14,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC1)O)-c1ccc(cc1)O,6.7447274948966935
lig_15,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC[C@@H](O)C1)O)-c1ccc(cc1)O,6.356547323513813
lig_16,CNC(=O)c1c(oc2ccc(c(c12)CNCC1(O)CC1)O)-c1ccc(cc1)O,6.292429823902063
lig_17,CNC(=O)c1c(oc2ccc(c(c12)CN1CC2(CCO2)C1)O)-c1ccc(cc1)O,5.782516055786094
lig_18,CNC(=O)c1c(oc2ccc(c(c12)CN1CC2(COC2)C1)O)-c1ccc(cc1)O,6.346787486224656
lig_19,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(CCO2)C1)O)-c1ccc(cc1)O,6.096910013008056
lig_20,CNC(=O)c1c(oc2ccc(c(c12)CN1CC2(CCOC2)C1)O)-c1ccc(cc1)O,6.2839966563652006
lig_21,CNC(=O)c1c(oc2ccc(c(c12)CN1CCCC(F)(F)C1)O)-c1ccc(cc1)O,5.920818753952375
lig_22,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC(F)CC1)O)-c1ccc(cc1)O,5.769551078621726
lig_23,CN(C)C(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(cc1)O,6.045757490560675
lig_24,Oc1ccc(cc1)-c1oc2ccc(c(c2c1C(=O)N1CCC1)CN1CCC2(COC2)C1)O,6.187086643357144
lig_25,Oc1ccc(cc1)-c1oc2ccc(c(c2c1C(=O)N1CC(F)C1)CN1CCC2(COC2)C1)O,6.443697499232713
lig_26,CC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(cc1)O,6.769551078621726
lig_27,Oc1ccc(cc1)-c1cc2c(c(ccc2o1)O)CN1CCC2(COC2)C1,6.221848749616356
lig_28,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccccc1,6.1938200260161125
lig_29,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1cccc(c1)O,6.136677139879544
lig_30,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(cc1)CO,5.889410289700751
lig_31,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(cc1)OC,6.187086643357144
lig_32,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc2[nH]ccc2c1,6.552841968657781
lig_33,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(cn1)O,5.6020599913279625
lig_34,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(c(c1)F)O,6.154901959985743
lig_35,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(cc1F)O,6.481486060122113
lig_36,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1c(cc(cc1F)O)F,6.309803919971486
lig_37,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(c(c1)C)O,6.823908740944319
lig_38,CNC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(cc1C)O,6.0
lig_39,Oc1ccc(cc1)-c1oc2ccc(c(c2c1C(=O)N1CCC1)CNCC1(O)CC1)O,6.6777807052660805
lig_40,Oc1ccc(cc1)-c1oc2ccc(c(c2c1C(=O)N1CC(F)C1)CNCC1(O)CC1)O,6.6020599913279625
lig_41,CNC(=O)c1c(oc2ccc(c(c12)CN1CCCC1)O)-c1ccc(cn1)O,5.7447274948966935
lig_42,Oc1ccc(nc1)-c1oc2ccc(c(c2c1C(=O)N1CCC1)CN1CCCCC1)O,6.130768280269024
lig_43,Oc1ccc(nc1)-c1oc2ccc(c(c2c1C(=O)N1CCC1)CN1CCCC1)O,6.136677139879544
lig_44,Oc1ccc(nc1)-c1oc2ccc(c(c2c1C(=O)N1CC(F)C1)CN1CCCCC1)O,6.6020599913279625
lig_45,CC(=O)c1c(oc2ccc(c(c12)CN1CCC2(COC2)C1)O)-c1ccc(cn1)O,6.443697499232713
lig_46,CC(=O)c1c(oc2ccc(c(c12)CN1CCCC1)O)-c1ccc(cn1)O,6.6020599913279625
lig_47,CC(=O)c1c(oc2ccc(c(c12)CN1CCC1)O)-c1cc(c(cn1)O)C,6.823908740944319
