name,SMILES,pIC50
lig_6a,O=C(C1=CC=C(N(CC2=CC=CC=C2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,7.086186147616283
lig_6b,O=C(C1=CC=C(N(CC2CCCCC2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,6.492144128304169
lig_6c,O=C(C1=CC=C(N(CC2=NC=CC=C2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,6.341035157335565
lig_6d,O=C(C1=CC=C(N(CC2=CC=CC=C2F)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,7.259637310505756
lig_6e,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,6.815308569182402
lig_6f,O=C(C1=CC=C(N(CC2=CC=C(F)C=C2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,6.847711655616943
lig_6g,O=C(C1=CC=C(N(CC2=CC(F)=CC(F)=C2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,7.318758762624412
lig_6h,O=C(C1=CC=C(N(CC2=CC=CC=C2Cl)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,6.767003889607846
lig_6i,O=C(C1=CC=C(N(CC2=CC(Cl)=CC=C2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,7.060480747381382
lig_6j,O=C(C1=CC=C(N(CC2=CC=C(Cl)C=C2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,6.705533773838407
lig_6k,O=C(C1=CC=C(N(CC2=CC(Cl)=C(Cl)C=C2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,5.961379838050298
lig_6l,O=C(C1=CC=C(N(CC2=CC=C(Cl)C=C2Cl)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,7.0
lig_6m,O=C(C1=CC=C(N(CC2=CC=CC=C2C(F)(F)F)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,6.517126416391246
lig_6n,O=C(C1=CC=C(N(CC2=CC=CC=C2OC)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,6.496209316942819
lig_7a,O=C(C1=CC=C(N(CC2=CC=CC=C2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=C(OC)C=C4,7.552841968657781
lig_7b,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C(N3)=O)C3=C1)NCC4=C(C(F)(F)F)C=C(OC)C=C4,7.5376020021010435
lig_7c,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=N3)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,6.97061622231479
lig_7d,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=N3)C3=C1)NCC4=C(C(F)(F)F)C=C(OC)C=C4,7.3979400086720375
lig_7e,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)N=C3)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,7.443697499232713
lig_7f,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)N=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(OC)C=C4,7.657577319177793
lig_7g,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=CC=C4,6.493494967595128
lig_h,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(OC)C=C4,6.508638306165727
lig_8a,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(N)C=C4,8.154901959985743
lig_8b,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(NS(C)(=O)=O)C=C4,8.301029995663981
lig_8c,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(NS(CC)(=O)=O)C=C4,8.522878745280337
lig_8d,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(NS(C5CC5)(=O)=O)C=C4,8.096910013008056
lig_8e,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(NC(C(F)(F)F)=O)C=C4,8.301029995663981
lig_8f,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(CSC)C=C4,8.221848749616356
lig_8g,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(CS(C)(=O)=O)C=C4,8.221848749616356
lig_9a,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=CC=C(NS(C)(=O)=O)C=C4,6.804100347590766
lig_9b,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(F)C=C(NS(C)(=O)=O)C=C4,7.920818753952375
lig_9c,O=C(C1=CC=C(N(CC2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(Cl)C=C(NS(C)(=O)=O)C=C4,8.221848749616356
lig_10a,O=C(C1=CC=C(NC=C2)C2=C1)NCC3=C(C(F)(F)F)C=C(NS(C)(=O)=O)C=C3,7.366531544420414
lig_10b,O=C(C1=CC=C(N(C(C)C2=CC(F)=CC=C2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(NS(C)(=O)=O)C=C4,8.522878745280337
lig_10c,O=C(C1=CC=C(N(C(C2=CC(F)=CC=C2)=O)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(NS(C)(=O)=O)C=C4,8.397940008672037
lig_10d,O=C(C1=CC=C(N(S(C2=CC(F)=CC=C2)(=O)=O)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(NS(C)(=O)=O)C=C4,8.698970004336019
lig_11a,O=C(C1=CC=C(NC=C2)C2=C1)NCC3=C(C(F)(F)F)C=C(NS(C4CC4)(=O)=O)C=C3,7.5376020021010435
lig_11b,O=C(C1=CC=C(N(C)C=C2)C2=C1)NCC3=C(C(F)(F)F)C=C(NS(C4CC4)(=O)=O)C=C3,7.886056647693163
lig_11c,O=C(C1=CC=C(N(CC)C=C2)C2=C1)NCC3=C(C(F)(F)F)C=C(NS(C4CC4)(=O)=O)C=C3,8.221848749616356
lig_11d,O=C(C1=CC=C(N(C(C)C)C=C2)C2=C1)NCC3=C(C(F)(F)F)C=C(NS(C4CC4)(=O)=O)C=C3,8.301029995663981
lig_11e,O=C(C1=CC=C(N(CC(C)C)C=C2)C2=C1)NCC3=C(C(F)(F)F)C=C(NS(C4CC4)(=O)=O)C=C3,8.698970004336019
lig_11f,O=C(C1=CC=C(N(CC2CC2)C=C3)C3=C1)NCC4=C(C(F)(F)F)C=C(NS(C5CC5)(=O)=O)C=C4,8.522878745280337
lig_11g,O=C(C1=CC=C(N(CC(C(F)(F)F)C(F)(F)F)C=C2)C2=C1)NCC3=C(C(F)(F)F)C=C(NS(C4CC4)(=O)=O)C=C3,8.522878745280337
lig_11h,O=C(C1=CC=C2C(C=CN2S(C(C)C)(=O)=O)=C1)NCC3=C(C(F)(F)F)C=C(NS(C4CC4)(=O)=O)C=C3,9.0
